Time,Incidence Number,Imported Cases,date
12,0.0,1.0,2020-03-12
16,0.0,1.0,2020-03-16
17,0.0,1.0,2020-03-17
19,0.0,1.0,2020-03-19
20,0.0,7.0,2020-03-20
21,0.0,8.0,2020-03-21
22,0.0,11.0,2020-03-22
23,0.0,8.0,2020-03-23
24,0.0,7.0,2020-03-24
25,0.0,7.0,2020-03-25
26,1.0,12.0,2020-03-26
27,0.0,5.0,2020-03-27
28,2.0,4.0,2020-03-28
29,0.0,2.0,2020-03-29
30,0.0,3.0,2020-03-30
31,0.0,4.0,2020-03-31
32,0.0,4.0,2020-04-01
33,2.0,2.0,2020-04-02
34,0.0,1.0,2020-04-03
35,0.0,3.0,2020-04-04
38,1.0,2.0,2020-04-07
39,1.0,0.0,2020-04-08
40,3.0,0.0,2020-04-09
44,1.0,0.0,2020-04-13
