Time,Incidence Number,Imported Cases,date
1,0.0,1.0,2020-03-01
2,1.0,1.0,2020-03-02
3,1.0,5.0,2020-03-03
4,4.0,2.0,2020-03-04
5,6.0,2.0,2020-03-05
6,4.0,2.0,2020-03-06
7,6.0,1.0,2020-03-07
8,6.0,2.0,2020-03-08
9,3.0,5.0,2020-03-09
10,0.0,6.0,2020-03-10
11,10.0,10.0,2020-03-11
12,10.0,10.0,2020-03-12
13,17.0,14.0,2020-03-13
14,13.0,11.0,2020-03-14
15,14.0,18.0,2020-03-15
16,13.0,35.0,2020-03-16
17,26.0,23.0,2020-03-17
18,22.0,37.0,2020-03-18
19,18.0,57.0,2020-03-19
20,46.0,80.0,2020-03-20
21,31.0,71.0,2020-03-21
22,34.0,137.0,2020-03-22
23,51.0,126.0,2020-03-23
24,50.0,135.0,2020-03-24
25,50.0,132.0,2020-03-25
26,57.0,137.0,2020-03-26
27,78.0,105.0,2020-03-27
28,36.0,82.0,2020-03-28
29,50.0,61.0,2020-03-29
30,34.0,49.0,2020-03-30
31,62.0,63.0,2020-03-31
32,71.0,41.0,2020-04-01
33,53.0,39.0,2020-04-02
34,51.0,26.0,2020-04-03
35,32.0,42.0,2020-04-04
36,30.0,24.0,2020-04-05
37,15.0,16.0,2020-04-06
38,20.0,8.0,2020-04-07
39,29.0,18.0,2020-04-08
40,11.0,16.0,2020-04-09
41,10.0,4.0,2020-04-10
42,6.0,5.0,2020-04-11
43,2.0,1.0,2020-04-12
