Time,Incidence Number,Imported Cases,date
2,0.0,2.0,2020-03-02
3,0.0,1.0,2020-03-03
4,0.0,1.0,2020-03-04
5,0.0,2.0,2020-03-05
6,0.0,1.0,2020-03-06
8,1.0,0.0,2020-03-08
9,0.0,2.0,2020-03-09
10,0.0,3.0,2020-03-10
11,2.0,8.0,2020-03-11
12,2.0,6.0,2020-03-12
13,4.0,10.0,2020-03-13
14,3.0,1.0,2020-03-14
15,5.0,14.0,2020-03-15
16,9.0,24.0,2020-03-16
17,13.0,22.0,2020-03-17
18,4.0,18.0,2020-03-18
19,5.0,30.0,2020-03-19
20,12.0,55.0,2020-03-20
21,14.0,39.0,2020-03-21
22,8.0,40.0,2020-03-22
23,21.0,56.0,2020-03-23
24,14.0,54.0,2020-03-24
25,7.0,45.0,2020-03-25
26,14.0,51.0,2020-03-26
27,13.0,45.0,2020-03-27
28,6.0,14.0,2020-03-28
29,6.0,25.0,2020-03-29
30,12.0,34.0,2020-03-30
31,9.0,25.0,2020-03-31
32,13.0,17.0,2020-04-01
33,10.0,16.0,2020-04-02
34,12.0,16.0,2020-04-03
35,6.0,4.0,2020-04-04
36,2.0,8.0,2020-04-05
37,4.0,3.0,2020-04-06
38,2.0,7.0,2020-04-07
39,8.0,4.0,2020-04-08
40,5.0,5.0,2020-04-09
41,6.0,5.0,2020-04-10
42,3.0,3.0,2020-04-11
43,7.0,1.0,2020-04-12
44,2.0,1.0,2020-04-13
45,1.0,0.0,2020-04-14
