Time,Incidence Number,Imported Cases,date
1,0.0,2.0,2020-03-01
3,0.0,1.0,2020-03-03
6,0.0,2.0,2020-03-06
7,0.0,1.0,2020-03-07
8,2.0,1.0,2020-03-08
9,2.0,3.0,2020-03-09
10,2.0,1.0,2020-03-10
11,4.0,1.0,2020-03-11
12,11.0,5.0,2020-03-12
13,3.0,9.0,2020-03-13
14,4.0,4.0,2020-03-14
15,3.0,4.0,2020-03-15
16,6.0,12.0,2020-03-16
17,11.0,24.0,2020-03-17
18,17.0,16.0,2020-03-18
19,10.0,23.0,2020-03-19
20,17.0,21.0,2020-03-20
21,36.0,20.0,2020-03-21
22,51.0,32.0,2020-03-22
23,44.0,17.0,2020-03-23
24,48.0,15.0,2020-03-24
25,51.0,25.0,2020-03-25
26,27.0,26.0,2020-03-26
27,57.0,51.0,2020-03-27
28,39.0,24.0,2020-03-28
29,49.0,20.0,2020-03-29
30,44.0,23.0,2020-03-30
31,33.0,18.0,2020-03-31
32,31.0,13.0,2020-04-01
33,39.0,12.0,2020-04-02
34,13.0,3.0,2020-04-03
35,30.0,2.0,2020-04-04
36,19.0,0.0,2020-04-05
37,31.0,0.0,2020-04-06
38,17.0,0.0,2020-04-07
39,12.0,0.0,2020-04-08
40,9.0,0.0,2020-04-09
41,34.0,0.0,2020-04-10
42,1.0,0.0,2020-04-11
43,2.0,0.0,2020-04-12
44,2.0,0.0,2020-04-13
