Time,Incidence Number,Imported Cases,date
3,0.0,1.0,2020-03-03
4,0.0,2.0,2020-03-04
5,0.0,1.0,2020-03-05
11,1.0,3.0,2020-03-11
12,2.0,6.0,2020-03-12
13,1.0,1.0,2020-03-13
14,0.0,3.0,2020-03-14
15,0.0,3.0,2020-03-15
16,4.0,4.0,2020-03-16
17,1.0,1.0,2020-03-17
18,1.0,10.0,2020-03-18
19,2.0,1.0,2020-03-19
20,15.0,5.0,2020-03-20
21,4.0,24.0,2020-03-21
22,7.0,34.0,2020-03-22
23,4.0,24.0,2020-03-23
24,1.0,29.0,2020-03-24
25,6.0,28.0,2020-03-25
26,9.0,23.0,2020-03-26
27,5.0,13.0,2020-03-27
28,6.0,11.0,2020-03-28
29,0.0,5.0,2020-03-29
30,13.0,12.0,2020-03-30
31,12.0,16.0,2020-03-31
32,10.0,10.0,2020-04-01
33,9.0,3.0,2020-04-02
34,6.0,7.0,2020-04-03
35,4.0,1.0,2020-04-04
37,4.0,1.0,2020-04-06
38,2.0,3.0,2020-04-07
40,2.0,3.0,2020-04-09
41,2.0,2.0,2020-04-10
43,1.0,0.0,2020-04-12
44,1.0,0.0,2020-04-13
