Time,Incidence Number,Imported Cases,date
2,0.0,1.0,2020-03-02
7,0.0,1.0,2020-03-07
11,0.0,1.0,2020-03-11
12,0.0,1.0,2020-03-12
18,0.0,3.0,2020-03-18
20,0.0,3.0,2020-03-20
21,0.0,5.0,2020-03-21
22,0.0,6.0,2020-03-22
23,0.0,7.0,2020-03-23
24,0.0,9.0,2020-03-24
25,1.0,5.0,2020-03-25
26,0.0,5.0,2020-03-26
27,2.0,10.0,2020-03-27
28,0.0,4.0,2020-03-28
29,0.0,3.0,2020-03-29
30,0.0,3.0,2020-03-30
32,0.0,2.0,2020-04-01
33,2.0,1.0,2020-04-02
34,3.0,3.0,2020-04-03
35,1.0,1.0,2020-04-04
36,3.0,1.0,2020-04-05
37,3.0,0.0,2020-04-06
38,8.0,1.0,2020-04-07
39,8.0,1.0,2020-04-08
40,6.0,0.0,2020-04-09
41,10.0,1.0,2020-04-10
42,11.0,0.0,2020-04-11
43,11.0,0.0,2020-04-12
