"date","import_status","region","cases"
2020-01-22,"Overseas acquired","NSW",1
2020-01-24,"Overseas acquired","NSW",1
2020-01-24,"Overseas acquired","VIC",2
2020-01-25,"Overseas acquired","NSW",2
2020-01-28,"Overseas acquired","QLD",1
2020-01-29,"Overseas acquired","VIC",2
2020-01-30,"Overseas acquired","NSW",1
2020-01-30,"Overseas acquired","QLD",1
2020-01-30,"Overseas acquired","SA",2
2020-02-22,"Overseas acquired","QLD",2
2020-02-22,"Overseas acquired","VIC",2
2020-02-23,"Overseas acquired","SA",1
2020-02-23,"Overseas acquired","VIC",1
2020-02-24,"Overseas acquired","QLD",1
2020-02-24,"Overseas acquired","WA",1
2020-02-26,"Locally acquired","NSW",1
2020-02-28,"Overseas acquired","QLD",1
2020-02-29,"Overseas acquired","NSW",1
2020-03-01,"Overseas acquired","NSW",1
2020-03-01,"Overseas acquired","VIC",2
2020-03-02,"Locally acquired","NSW",1
2020-03-02,"Overseas acquired","NSW",1
2020-03-02,"Overseas acquired","QLD",2
2020-03-02,"Overseas acquired","TAS",1
2020-03-02,"Overseas acquired","WA",1
2020-03-03,"Locally acquired","NSW",1
2020-03-03,"Overseas acquired","NSW",5
2020-03-03,"Overseas acquired","QLD",1
2020-03-03,"Overseas acquired","SA",1
2020-03-03,"Overseas acquired","VIC",1
2020-03-04,"Locally acquired","NSW",4
2020-03-04,"Overseas acquired","NSW",2
2020-03-04,"Overseas acquired","QLD",1
2020-03-04,"Overseas acquired","SA",2
2020-03-05,"Locally acquired","NSW",6
2020-03-05,"Overseas acquired","NSW",2
2020-03-05,"Overseas acquired","QLD",2
2020-03-05,"Overseas acquired","SA",1
2020-03-05,"Overseas acquired","WA",1
2020-03-06,"Locally acquired","NSW",4
2020-03-06,"Overseas acquired","NSW",2
2020-03-06,"Overseas acquired","QLD",1
2020-03-06,"Overseas acquired","VIC",2
2020-03-07,"Locally acquired","NSW",6
2020-03-07,"Overseas acquired","NSW",1
2020-03-07,"Overseas acquired","TAS",1
2020-03-07,"Overseas acquired","VIC",1
2020-03-08,"Locally acquired","NSW",6
2020-03-08,"Locally acquired","QLD",1
2020-03-08,"Overseas acquired","NSW",2
2020-03-08,"Overseas acquired","VIC",1
2020-03-08,"Overseas acquired","WA",1
2020-03-08,"Unknown origin","VIC",2
2020-03-09,"Locally acquired","NSW",3
2020-03-09,"Locally acquired","VIC",1
2020-03-09,"Locally acquired","WA",1
2020-03-09,"Overseas acquired","NSW",5
2020-03-09,"Overseas acquired","QLD",2
2020-03-09,"Overseas acquired","VIC",3
2020-03-09,"Unknown origin","VIC",1
2020-03-10,"Locally acquired","VIC",1
2020-03-10,"Locally acquired","WA",1
2020-03-10,"Overseas acquired","NSW",6
2020-03-10,"Overseas acquired","QLD",3
2020-03-10,"Overseas acquired","VIC",1
2020-03-10,"Unknown origin","VIC",1
2020-03-11,"Locally acquired","NSW",10
2020-03-11,"Locally acquired","QLD",2
2020-03-11,"Locally acquired","SA",1
2020-03-11,"Locally acquired","VIC",1
