Time,Incidence Number,Imported Cases,date
1,0,4,2020-01-22
2,0,4,2020-01-23
3,0,3,2020-01-24
4,0,9,2020-01-25
5,1,6,2020-01-26
6,0,11,2020-01-27
7,0,5,2020-01-28
8,1,2,2020-01-29
9,1,2,2020-01-30
10,0,8,2020-01-31
11,0,5,2020-02-01
12,1,6,2020-02-02
13,0,9,2020-02-03
14,4,7,2020-02-04
15,2,9,2020-02-05
16,6,5,2020-02-06
17,8,3,2020-02-07
18,4,2,2020-02-08
19,4,4,2020-02-09
20,3,3,2020-02-10
21,3,0,2020-02-11
22,7,5,2020-02-12
23,0,0,2020-02-13
24,5,0,2020-02-14
25,0,0,2020-02-15
26,1,0,2020-02-16
27,0,0,2020-02-17
28,5,0,2020-02-18
29,0,0,2020-02-19
30,0,0,2020-02-20
31,0,0,2020-02-21
32,0,0,2020-02-22
33,0,0,2020-02-23
34,0,0,2020-02-24
35,0,0,2020-02-25
36,0,0,2020-02-26
37,0,0,2020-02-27
38,0,0,2020-02-28
39,0,0,2020-02-29
40,0,0,2020-03-01
41,0,0,2020-03-02
42,0,0,2020-03-03
43,0,0,2020-03-04
44,0,0,2020-03-05
45,0,0,2020-03-06
46,0,0,2020-03-07
47,0,0,2020-03-08
48,0,0,2020-03-09
49,0,0,2020-03-10
50,0,0,2020-03-11
