Time,Incidence Number,Imported Cases,date
1,0.0,1.0,2020-03-05
4,0.0,1.0,2020-03-08
9,0.0,2.0,2020-03-13
10,0.0,3.0,2020-03-14
11,0.0,3.0,2020-03-15
12,0.0,1.0,2020-03-16
13,0.0,5.0,2020-03-17
14,0.0,6.0,2020-03-18
15,1.0,16.0,2020-03-19
16,1.0,9.0,2020-03-20
17,1.0,9.0,2020-03-21
18,4.0,16.0,2020-03-22
19,1.0,13.0,2020-03-23
20,0.0,9.0,2020-03-24
21,4.0,13.0,2020-03-25
22,6.0,11.0,2020-03-26
23,8.0,27.0,2020-03-27
24,7.0,21.0,2020-03-28
25,11.0,20.0,2020-03-29
26,8.0,14.0,2020-03-30
27,6.0,25.0,2020-03-31
28,15.0,13.0,2020-04-01
29,20.0,19.0,2020-04-02
30,16.0,6.0,2020-04-03
31,9.0,6.0,2020-04-04
32,9.0,9.0,2020-04-05
33,13.0,9.0,2020-04-06
34,14.0,7.0,2020-04-07
35,5.0,4.0,2020-04-08
36,6.0,5.0,2020-04-09
37,16.0,4.0,2020-04-10
38,12.0,2.0,2020-04-11
39,4.0,0.0,2020-04-12
40,6.0,0.0,2020-04-13
41,7.0,4.0,2020-04-14
42,9.0,2.0,2020-04-15
43,5.0,4.0,2020-04-16
44,19.0,1.0,2020-04-17
45,8.0,0.0,2020-04-18
46,4.0,0.0,2020-04-19
47,1.0,1.0,2020-04-20
48,6.0,0.0,2020-04-21
49,5.0,0.0,2020-04-22
50,3.0,0.0,2020-04-23
51,2.0,0.0,2020-04-24
52,1.0,1.0,2020-04-25
53,1.0,0.0,2020-04-26
54,1.0,0.0,2020-04-27
55,2.0,2.0,2020-04-28
56,4.0,0.0,2020-04-29
57,1.0,0.0,2020-04-30
59,3.0,0.0,2020-05-02
60,1.0,0.0,2020-05-03
61,3.0,0.0,2020-05-04
62,0.0,1.0,2020-05-05
63,2.0,0.0,2020-05-06
65,2.0,0.0,2020-05-08
66,1.0,0.0,2020-05-09
67,0.0,2.0,2020-05-10
68,0.0,1.0,2020-05-11
69,3.0,0.0,2020-05-12
72,1.0,1.0,2020-05-15
73,0.0,1.0,2020-05-16
75,1.0,0.0,2020-05-18
76,1.0,0.0,2020-05-19
77,3.0,1.0,2020-05-20
79,1.0,0.0,2020-05-22
84,2.0,0.0,2020-05-27
85,2.0,1.0,2020-05-28
86,3.0,0.0,2020-05-29
89,1.0,0.0,2020-06-01
90,1.0,0.0,2020-06-02
91,1.0,0.0,2020-06-03
92,6.0,0.0,2020-06-04
93,8.0,0.0,2020-06-05
94,0.0,1.0,2020-06-06
95,1.0,0.0,2020-06-07
96,5.0,1.0,2020-06-08
97,4.0,0.0,2020-06-09
98,6.0,0.0,2020-06-10
99,15.0,0.0,2020-06-11
100,17.0,0.0,2020-06-12
101,3.0,2.0,2020-06-13
102,8.0,0.0,2020-06-14
103,3.0,0.0,2020-06-15
104,4.0,1.0,2020-06-16
105,18.0,0.0,2020-06-17
106,22.0,4.0,2020-06-18
107,11.0,1.0,2020-06-19
108,9.0,1.0,2020-06-20
109,4.0,0.0,2020-06-21
110,2.0,1.0,2020-06-22
111,11.0,2.0,2020-06-23
112,15.0,0.0,2020-06-24
113,16.0,0.0,2020-06-25
114,5.0,1.0,2020-06-26
115,25.0,1.0,2020-06-27
116,2.0,0.0,2020-06-28
117,15.0,3.0,2020-06-29
118,5.0,2.0,2020-06-30
119,17.0,3.0,2020-07-01
120,21.0,7.0,2020-07-02
121,19.0,5.0,2020-07-03
122,24.0,1.0,2020-07-04
123,7.0,0.0,2020-07-05
124,29.0,12.0,2020-07-06
125,17.0,5.0,2020-07-07
126,31.0,3.0,2020-07-08
127,25.0,2.0,2020-07-09
128,35.0,6.0,2020-07-10
129,13.0,7.0,2020-07-11
130,18.0,2.0,2020-07-12
131,17.0,5.0,2020-07-13
132,26.0,2.0,2020-07-14
133,15.0,4.0,2020-07-15
134,20.0,3.0,2020-07-16
135,13.0,6.0,2020-07-17
136,23.0,5.0,2020-07-18
137,10.0,2.0,2020-07-19
138,16.0,8.0,2020-07-20
139,16.0,1.0,2020-07-21
140,49.0,5.0,2020-07-22
141,55.0,3.0,2020-07-23
142,69.0,2.0,2020-07-24
143,59.0,5.0,2020-07-25
144,27.0,1.0,2020-07-26
145,43.0,4.0,2020-07-27
146,100.0,10.0,2020-07-28
147,117.0,6.0,2020-07-29
148,119.0,3.0,2020-07-30
149,84.0,3.0,2020-07-31
150,45.0,0.0,2020-08-01
151,199.0,7.0,2020-08-02
152,135.0,8.0,2020-08-03
153,167.0,2.0,2020-08-04
154,141.0,6.0,2020-08-05
155,200.0,1.0,2020-08-06
156,220.0,7.0,2020-08-07
157,142.0,8.0,2020-08-08
158,138.0,1.0,2020-08-09
159,118.0,2.0,2020-08-10
160,193.0,7.0,2020-08-11
161,346.0,7.0,2020-08-12
162,222.0,9.0,2020-08-13
163,277.0,6.0,2020-08-14
164,209.0,9.0,2020-08-15
165,168.0,5.0,2020-08-16
166,132.0,2.0,2020-08-17
167,254.0,6.0,2020-08-18
168,232.0,3.0,2020-08-19
169,226.0,4.0,2020-08-20
170,274.0,5.0,2020-08-21
171,240.0,7.0,2020-08-22
172,167.0,1.0,2020-08-23
173,212.0,3.0,2020-08-24
174,266.0,8.0,2020-08-25
175,296.0,8.0,2020-08-26
176,263.0,1.0,2020-08-27
177,304.0,6.0,2020-08-28
178,195.0,2.0,2020-08-29
179,130.0,0.0,2020-08-30
180,176.0,3.0,2020-08-31
181,323.0,15.0,2020-09-01
182,202.0,6.0,2020-09-02
183,259.0,7.0,2020-09-03
184,207.0,11.0,2020-09-04
185,157.0,4.0,2020-09-05
186,101.0,3.0,2020-09-06
187,66.0,0.0,2020-09-07
188,100.0,0.0,2020-09-08
189,165.0,2.0,2020-09-09
190,165.0,3.0,2020-09-10
191,121.0,6.0,2020-09-11
192,111.0,3.0,2020-09-12
193,80.0,0.0,2020-09-13
194,62.0,3.0,2020-09-14
195,94.0,4.0,2020-09-15
196,156.0,0.0,2020-09-16
197,115.0,4.0,2020-09-17
198,111.0,1.0,2020-09-18
199,76.0,1.0,2020-09-19
200,54.0,2.0,2020-09-20
201,60.0,1.0,2020-09-21
202,164.0,3.0,2020-09-22
203,88.0,1.0,2020-09-23
204,105.0,6.0,2020-09-24
205,123.0,4.0,2020-09-25
206,89.0,5.0,2020-09-26
207,87.0,2.0,2020-09-27
208,81.0,4.0,2020-09-28
209,111.0,9.0,2020-09-29
210,106.0,1.0,2020-09-30
211,84.0,1.0,2020-10-01
212,130.0,3.0,2020-10-02
213,66.0,3.0,2020-10-03
214,51.0,0.0,2020-10-04
215,81.0,0.0,2020-10-05
216,107.0,2.0,2020-10-06
217,99.0,2.0,2020-10-07
218,146.0,5.0,2020-10-08
219,71.0,2.0,2020-10-09
220,99.0,4.0,2020-10-10
221,42.0,0.0,2020-10-11
222,62.0,0.0,2020-10-12
223,97.0,1.0,2020-10-13
224,87.0,1.0,2020-10-14
225,87.0,2.0,2020-10-15
226,92.0,2.0,2020-10-16
227,76.0,6.0,2020-10-17
228,36.0,2.0,2020-10-18
229,81.0,3.0,2020-10-19
230,74.0,3.0,2020-10-20
231,91.0,8.0,2020-10-21
232,125.0,3.0,2020-10-22
233,82.0,7.0,2020-10-23
234,115.0,4.0,2020-10-24
235,31.0,4.0,2020-10-25
236,62.0,1.0,2020-10-26
237,48.0,7.0,2020-10-27
238,61.0,9.0,2020-10-28
239,88.0,5.0,2020-10-29
240,59.0,2.0,2020-10-30
241,69.0,10.0,2020-10-31
242,69.0,4.0,2020-11-01
243,75.0,8.0,2020-11-02
244,141.0,9.0,2020-11-03
245,78.0,12.0,2020-11-04
246,100.0,15.0,2020-11-05
247,111.0,11.0,2020-11-06
248,108.0,17.0,2020-11-07
249,49.0,8.0,2020-11-08
250,66.0,6.0,2020-11-09
251,97.0,20.0,2020-11-10
252,77.0,16.0,2020-11-11
253,87.0,16.0,2020-11-12
254,95.0,9.0,2020-11-13
255,79.0,14.0,2020-11-14
256,29.0,14.0,2020-11-15
257,54.0,7.0,2020-11-16
258,79.0,22.0,2020-11-17
259,70.0,18.0,2020-11-18
260,134.0,18.0,2020-11-19
261,106.0,14.0,2020-11-20
262,83.0,21.0,2020-11-21
263,43.0,12.0,2020-11-22
264,91.0,9.0,2020-11-23
265,89.0,30.0,2020-11-24
266,67.0,16.0,2020-11-25
267,54.0,20.0,2020-11-26
268,41.0,12.0,2020-11-27
269,68.0,13.0,2020-11-28
270,35.0,6.0,2020-11-29
271,56.0,11.0,2020-11-30
272,128.0,11.0,2020-12-01
273,81.0,21.0,2020-12-02
274,83.0,29.0,2020-12-03
275,88.0,10.0,2020-12-04
276,52.0,23.0,2020-12-05
277,40.0,11.0,2020-12-06
278,52.0,21.0,2020-12-07
279,83.0,32.0,2020-12-08
280,66.0,13.0,2020-12-09
281,178.0,17.0,2020-12-10
282,69.0,11.0,2020-12-11
283,176.0,11.0,2020-12-12
284,49.0,4.0,2020-12-13
285,91.0,12.0,2020-12-14
286,118.0,15.0,2020-12-15
287,113.0,11.0,2020-12-16
288,133.0,16.0,2020-12-17
289,185.0,18.0,2020-12-18
290,114.0,17.0,2020-12-19
291,58.0,5.0,2020-12-20
292,85.0,13.0,2020-12-21
293,110.0,16.0,2020-12-22
294,102.0,17.0,2020-12-23
295,90.0,20.0,2020-12-24
296,84.0,10.0,2020-12-25
297,42.0,5.0,2020-12-26
298,59.0,13.0,2020-12-27
299,89.0,17.0,2020-12-28
300,143.0,33.0,2020-12-29
301,197.0,32.0,2020-12-30
302,120.0,37.0,2020-12-31
303,98.0,18.0,2021-01-01
304,55.0,15.0,2021-01-02
305,82.0,23.0,2021-01-03
306,94.0,30.0,2021-01-04
307,235.0,48.0,2021-01-05
308,171.0,64.0,2021-01-06
309,173.0,56.0,2021-01-07
310,132.0,45.0,2021-01-08
311,122.0,39.0,2021-01-09
312,86.0,19.0,2021-01-10
313,68.0,26.0,2021-01-11
314,136.0,33.0,2021-01-12
315,121.0,21.0,2021-01-13
316,128.0,29.0,2021-01-14
317,102.0,20.0,2021-01-15
318,96.0,18.0,2021-01-16
319,51.0,9.0,2021-01-17
320,56.0,15.0,2021-01-18
321,94.0,16.0,2021-01-19
322,109.0,14.0,2021-01-20
323,112.0,17.0,2021-01-21
324,132.0,12.0,2021-01-22
325,95.0,17.0,2021-01-23
326,60.0,10.0,2021-01-24
327,78.0,15.0,2021-01-25
328,70.0,21.0,2021-01-26
329,99.0,7.0,2021-01-27
330,98.0,11.0,2021-01-28
331,67.0,11.0,2021-01-29
332,76.0,9.0,2021-01-30
333,58.0,3.0,2021-01-31
334,56.0,10.0,2021-02-01
335,90.0,10.0,2021-02-02
336,89.0,4.0,2021-02-03
337,92.0,10.0,2021-02-04
338,63.0,6.0,2021-02-05
339,30.0,2.0,2021-02-06
340,29.0,5.0,2021-02-07
341,48.0,3.0,2021-02-08
342,80.0,6.0,2021-02-09
343,54.0,8.0,2021-02-10
344,57.0,2.0,2021-02-11
345,37.0,5.0,2021-02-12
346,26.0,6.0,2021-02-13
347,16.0,0.0,2021-02-14
348,23.0,3.0,2021-02-15
349,56.0,6.0,2021-02-16
350,39.0,7.0,2021-02-17
351,42.0,6.0,2021-02-18
352,57.0,5.0,2021-02-19
353,46.0,6.0,2021-02-20
354,35.0,8.0,2021-02-21
355,29.0,5.0,2021-02-22
356,36.0,6.0,2021-02-23
357,37.0,5.0,2021-02-24
358,65.0,4.0,2021-02-25
359,53.0,5.0,2021-02-26
360,25.0,1.0,2021-02-27
361,27.0,4.0,2021-02-28
362,17.0,3.0,2021-03-01
363,47.0,11.0,2021-03-02
364,48.0,3.0,2021-03-03
365,74.0,9.0,2021-03-04
366,39.0,8.0,2021-03-05
367,33.0,9.0,2021-03-06
368,29.0,10.0,2021-03-07
