Time,Incidence Number,Imported Cases,date
13,0.0,1.0,2020-03-17
16,0.0,2.0,2020-03-20
18,0.0,1.0,2020-03-22
19,0.0,1.0,2020-03-23
21,0.0,1.0,2020-03-25
22,1.0,1.0,2020-03-26
23,1.0,4.0,2020-03-27
24,0.0,4.0,2020-03-28
25,0.0,1.0,2020-03-29
27,0.0,3.0,2020-03-31
29,2.0,0.0,2020-04-02
30,1.0,1.0,2020-04-03
32,0.0,1.0,2020-04-05
33,1.0,0.0,2020-04-06
34,1.0,2.0,2020-04-07
36,1.0,0.0,2020-04-09
37,3.0,0.0,2020-04-10
38,5.0,0.0,2020-04-11
39,1.0,0.0,2020-04-12
40,1.0,0.0,2020-04-13
43,3.0,0.0,2020-04-16
44,15.0,1.0,2020-04-17
45,2.0,0.0,2020-04-18
46,2.0,0.0,2020-04-19
48,3.0,0.0,2020-04-21
49,1.0,0.0,2020-04-22
50,1.0,0.0,2020-04-23
52,1.0,0.0,2020-04-25
56,3.0,0.0,2020-04-29
59,1.0,0.0,2020-05-02
60,1.0,0.0,2020-05-03
72,0.0,1.0,2020-05-15
73,0.0,1.0,2020-05-16
75,1.0,0.0,2020-05-18
77,2.0,1.0,2020-05-20
101,1.0,0.0,2020-06-13
104,0.0,1.0,2020-06-16
108,2.0,0.0,2020-06-20
111,0.0,1.0,2020-06-23
115,0.0,1.0,2020-06-27
119,1.0,2.0,2020-07-01
120,0.0,1.0,2020-07-02
121,1.0,1.0,2020-07-03
123,1.0,0.0,2020-07-05
124,0.0,1.0,2020-07-06
125,1.0,0.0,2020-07-07
126,0.0,1.0,2020-07-08
127,0.0,1.0,2020-07-09
128,1.0,1.0,2020-07-10
129,0.0,1.0,2020-07-11
130,1.0,0.0,2020-07-12
131,2.0,1.0,2020-07-13
132,2.0,0.0,2020-07-14
134,0.0,2.0,2020-07-16
135,0.0,1.0,2020-07-17
136,1.0,1.0,2020-07-18
137,0.0,1.0,2020-07-19
140,1.0,1.0,2020-07-22
151,0.0,2.0,2020-08-02
152,2.0,2.0,2020-08-03
154,0.0,1.0,2020-08-05
156,3.0,1.0,2020-08-07
157,0.0,3.0,2020-08-08
159,1.0,0.0,2020-08-10
