Time,Incidence Number,Imported Cases,date
1,0.0,1.0,2020-03-05
4,0.0,1.0,2020-03-08
10,0.0,2.0,2020-03-14
11,0.0,2.0,2020-03-15
12,0.0,1.0,2020-03-16
13,0.0,3.0,2020-03-17
14,0.0,4.0,2020-03-18
15,1.0,15.0,2020-03-19
16,1.0,5.0,2020-03-20
17,1.0,7.0,2020-03-21
18,3.0,13.0,2020-03-22
19,1.0,11.0,2020-03-23
20,0.0,7.0,2020-03-24
21,3.0,12.0,2020-03-25
22,4.0,9.0,2020-03-26
23,6.0,17.0,2020-03-27
24,7.0,10.0,2020-03-28
25,9.0,16.0,2020-03-29
26,7.0,13.0,2020-03-30
27,5.0,22.0,2020-03-31
28,14.0,11.0,2020-04-01
29,16.0,12.0,2020-04-02
30,14.0,4.0,2020-04-03
31,7.0,2.0,2020-04-04
32,5.0,7.0,2020-04-05
33,9.0,7.0,2020-04-06
34,8.0,3.0,2020-04-07
35,3.0,4.0,2020-04-08
36,1.0,3.0,2020-04-09
37,2.0,3.0,2020-04-10
38,3.0,0.0,2020-04-11
39,1.0,0.0,2020-04-12
40,4.0,0.0,2020-04-13
41,6.0,3.0,2020-04-14
42,4.0,2.0,2020-04-15
43,0.0,4.0,2020-04-16
44,1.0,0.0,2020-04-17
45,3.0,0.0,2020-04-18
48,2.0,0.0,2020-04-21
49,2.0,0.0,2020-04-22
50,1.0,0.0,2020-04-23
51,2.0,0.0,2020-04-24
52,0.0,1.0,2020-04-25
55,1.0,2.0,2020-04-28
57,1.0,0.0,2020-04-30
59,1.0,0.0,2020-05-02
61,3.0,0.0,2020-05-04
62,0.0,1.0,2020-05-05
63,2.0,0.0,2020-05-06
65,1.0,0.0,2020-05-08
66,1.0,0.0,2020-05-09
67,0.0,2.0,2020-05-10
68,0.0,1.0,2020-05-11
69,3.0,0.0,2020-05-12
72,1.0,0.0,2020-05-15
76,1.0,0.0,2020-05-19
84,2.0,0.0,2020-05-27
85,2.0,1.0,2020-05-28
86,2.0,0.0,2020-05-29
89,1.0,0.0,2020-06-01
90,1.0,0.0,2020-06-02
91,1.0,0.0,2020-06-03
92,6.0,0.0,2020-06-04
93,8.0,0.0,2020-06-05
94,0.0,1.0,2020-06-06
95,1.0,0.0,2020-06-07
96,5.0,1.0,2020-06-08
97,4.0,0.0,2020-06-09
98,6.0,0.0,2020-06-10
99,15.0,0.0,2020-06-11
100,17.0,0.0,2020-06-12
101,2.0,2.0,2020-06-13
102,8.0,0.0,2020-06-14
103,3.0,0.0,2020-06-15
104,4.0,0.0,2020-06-16
105,18.0,0.0,2020-06-17
106,21.0,3.0,2020-06-18
107,4.0,0.0,2020-06-19
108,7.0,1.0,2020-06-20
109,4.0,0.0,2020-06-21
110,2.0,1.0,2020-06-22
111,11.0,1.0,2020-06-23
112,12.0,0.0,2020-06-24
113,14.0,0.0,2020-06-25
114,4.0,1.0,2020-06-26
115,23.0,0.0,2020-06-27
116,2.0,0.0,2020-06-28
117,14.0,2.0,2020-06-29
118,5.0,0.0,2020-06-30
119,16.0,1.0,2020-07-01
120,21.0,4.0,2020-07-02
121,18.0,1.0,2020-07-03
122,24.0,1.0,2020-07-04
123,6.0,0.0,2020-07-05
124,29.0,9.0,2020-07-06
125,16.0,3.0,2020-07-07
126,30.0,2.0,2020-07-08
127,25.0,0.0,2020-07-09
128,34.0,3.0,2020-07-10
129,13.0,5.0,2020-07-11
130,16.0,2.0,2020-07-12
131,15.0,4.0,2020-07-13
132,24.0,2.0,2020-07-14
133,15.0,4.0,2020-07-15
134,20.0,1.0,2020-07-16
135,13.0,5.0,2020-07-17
136,22.0,4.0,2020-07-18
137,10.0,1.0,2020-07-19
138,15.0,6.0,2020-07-20
139,16.0,1.0,2020-07-21
140,47.0,3.0,2020-07-22
141,54.0,3.0,2020-07-23
142,65.0,2.0,2020-07-24
143,53.0,2.0,2020-07-25
144,27.0,1.0,2020-07-26
145,42.0,4.0,2020-07-27
146,94.0,5.0,2020-07-28
147,113.0,6.0,2020-07-29
148,116.0,3.0,2020-07-30
149,84.0,3.0,2020-07-31
150,44.0,0.0,2020-08-01
151,196.0,2.0,2020-08-02
152,133.0,6.0,2020-08-03
153,167.0,2.0,2020-08-04
154,140.0,4.0,2020-08-05
155,199.0,1.0,2020-08-06
156,215.0,5.0,2020-08-07
157,142.0,3.0,2020-08-08
158,137.0,0.0,2020-08-09
159,113.0,2.0,2020-08-10
160,188.0,7.0,2020-08-11
161,338.0,4.0,2020-08-12
162,212.0,5.0,2020-08-13
163,269.0,3.0,2020-08-14
164,195.0,5.0,2020-08-15
165,158.0,5.0,2020-08-16
166,124.0,1.0,2020-08-17
167,229.0,3.0,2020-08-18
168,226.0,2.0,2020-08-19
169,206.0,2.0,2020-08-20
170,254.0,1.0,2020-08-21
171,222.0,5.0,2020-08-22
172,149.0,1.0,2020-08-23
173,199.0,2.0,2020-08-24
174,236.0,7.0,2020-08-25
175,279.0,8.0,2020-08-26
176,231.0,0.0,2020-08-27
177,260.0,4.0,2020-08-28
178,171.0,1.0,2020-08-29
179,104.0,0.0,2020-08-30
180,154.0,2.0,2020-08-31
181,288.0,14.0,2020-09-01
182,182.0,6.0,2020-09-02
183,225.0,6.0,2020-09-03
184,183.0,7.0,2020-09-04
185,142.0,3.0,2020-09-05
186,88.0,1.0,2020-09-06
187,58.0,0.0,2020-09-07
188,86.0,0.0,2020-09-08
189,155.0,2.0,2020-09-09
190,140.0,3.0,2020-09-10
191,109.0,3.0,2020-09-11
192,92.0,1.0,2020-09-12
193,71.0,0.0,2020-09-13
194,58.0,2.0,2020-09-14
195,90.0,4.0,2020-09-15
196,134.0,0.0,2020-09-16
197,107.0,2.0,2020-09-17
198,103.0,0.0,2020-09-18
199,70.0,1.0,2020-09-19
200,48.0,1.0,2020-09-20
201,53.0,0.0,2020-09-21
202,150.0,3.0,2020-09-22
203,80.0,1.0,2020-09-23
204,93.0,3.0,2020-09-24
205,120.0,3.0,2020-09-25
206,84.0,3.0,2020-09-26
207,87.0,2.0,2020-09-27
208,77.0,3.0,2020-09-28
209,89.0,5.0,2020-09-29
210,100.0,1.0,2020-09-30
211,69.0,0.0,2020-10-01
212,86.0,1.0,2020-10-02
213,51.0,2.0,2020-10-03
214,41.0,0.0,2020-10-04
215,67.0,0.0,2020-10-05
216,88.0,2.0,2020-10-06
217,84.0,2.0,2020-10-07
218,102.0,5.0,2020-10-08
219,58.0,0.0,2020-10-09
220,76.0,3.0,2020-10-10
221,37.0,0.0,2020-10-11
222,30.0,0.0,2020-10-12
223,78.0,1.0,2020-10-13
224,73.0,1.0,2020-10-14
225,67.0,2.0,2020-10-15
226,80.0,1.0,2020-10-16
227,62.0,6.0,2020-10-17
228,29.0,2.0,2020-10-18
229,57.0,2.0,2020-10-19
230,61.0,3.0,2020-10-20
231,49.0,3.0,2020-10-21
232,64.0,2.0,2020-10-22
233,52.0,6.0,2020-10-23
234,48.0,1.0,2020-10-24
235,23.0,3.0,2020-10-25
236,48.0,1.0,2020-10-26
237,36.0,4.0,2020-10-27
238,53.0,7.0,2020-10-28
239,71.0,2.0,2020-10-29
240,44.0,1.0,2020-10-30
241,43.0,9.0,2020-10-31
242,61.0,3.0,2020-11-01
243,66.0,6.0,2020-11-02
244,117.0,7.0,2020-11-03
245,61.0,5.0,2020-11-04
246,81.0,5.0,2020-11-05
247,98.0,9.0,2020-11-06
248,90.0,14.0,2020-11-07
249,46.0,7.0,2020-11-08
250,62.0,2.0,2020-11-09
251,76.0,9.0,2020-11-10
252,64.0,7.0,2020-11-11
253,80.0,12.0,2020-11-12
254,84.0,4.0,2020-11-13
255,67.0,8.0,2020-11-14
256,27.0,8.0,2020-11-15
257,50.0,6.0,2020-11-16
258,67.0,10.0,2020-11-17
259,58.0,11.0,2020-11-18
260,115.0,8.0,2020-11-19
261,89.0,8.0,2020-11-20
262,67.0,13.0,2020-11-21
263,37.0,7.0,2020-11-22
264,86.0,7.0,2020-11-23
265,72.0,20.0,2020-11-24
266,60.0,9.0,2020-11-25
267,43.0,5.0,2020-11-26
268,36.0,9.0,2020-11-27
269,56.0,10.0,2020-11-28
270,29.0,2.0,2020-11-29
271,50.0,10.0,2020-11-30
272,108.0,10.0,2020-12-01
273,58.0,14.0,2020-12-02
274,62.0,21.0,2020-12-03
275,81.0,5.0,2020-12-04
276,40.0,16.0,2020-12-05
277,30.0,7.0,2020-12-06
278,33.0,12.0,2020-12-07
279,63.0,17.0,2020-12-08
280,47.0,8.0,2020-12-09
281,143.0,8.0,2020-12-10
282,54.0,4.0,2020-12-11
283,147.0,9.0,2020-12-12
284,34.0,1.0,2020-12-13
285,78.0,7.0,2020-12-14
286,101.0,9.0,2020-12-15
287,97.0,8.0,2020-12-16
288,109.0,5.0,2020-12-17
289,168.0,11.0,2020-12-18
290,94.0,9.0,2020-12-19
291,48.0,3.0,2020-12-20
292,63.0,7.0,2020-12-21
293,73.0,6.0,2020-12-22
294,83.0,12.0,2020-12-23
295,70.0,13.0,2020-12-24
296,65.0,7.0,2020-12-25
297,26.0,4.0,2020-12-26
298,48.0,8.0,2020-12-27
299,72.0,14.0,2020-12-28
300,120.0,15.0,2020-12-29
301,170.0,18.0,2020-12-30
302,72.0,15.0,2020-12-31
303,70.0,14.0,2021-01-01
304,46.0,10.0,2021-01-02
305,60.0,11.0,2021-01-03
306,63.0,20.0,2021-01-04
307,172.0,35.0,2021-01-05
308,148.0,50.0,2021-01-06
309,122.0,36.0,2021-01-07
310,101.0,25.0,2021-01-08
311,82.0,24.0,2021-01-09
312,63.0,17.0,2021-01-10
313,55.0,18.0,2021-01-11
314,96.0,25.0,2021-01-12
315,97.0,13.0,2021-01-13
316,93.0,19.0,2021-01-14
317,69.0,16.0,2021-01-15
318,74.0,8.0,2021-01-16
319,36.0,9.0,2021-01-17
320,42.0,9.0,2021-01-18
321,56.0,9.0,2021-01-19
322,90.0,8.0,2021-01-20
323,88.0,14.0,2021-01-21
324,97.0,7.0,2021-01-22
325,71.0,15.0,2021-01-23
326,51.0,10.0,2021-01-24
327,51.0,12.0,2021-01-25
328,45.0,17.0,2021-01-26
329,70.0,6.0,2021-01-27
330,73.0,8.0,2021-01-28
331,50.0,9.0,2021-01-29
332,50.0,7.0,2021-01-30
333,37.0,2.0,2021-01-31
334,34.0,6.0,2021-02-01
335,73.0,6.0,2021-02-02
336,63.0,2.0,2021-02-03
337,80.0,7.0,2021-02-04
338,47.0,1.0,2021-02-05
339,20.0,0.0,2021-02-06
340,21.0,3.0,2021-02-07
341,37.0,3.0,2021-02-08
342,59.0,3.0,2021-02-09
343,28.0,5.0,2021-02-10
344,43.0,2.0,2021-02-11
345,31.0,4.0,2021-02-12
346,23.0,2.0,2021-02-13
347,13.0,0.0,2021-02-14
348,16.0,0.0,2021-02-15
349,43.0,2.0,2021-02-16
350,17.0,6.0,2021-02-17
351,30.0,4.0,2021-02-18
352,27.0,4.0,2021-02-19
353,17.0,4.0,2021-02-20
354,20.0,6.0,2021-02-21
355,15.0,0.0,2021-02-22
356,19.0,4.0,2021-02-23
357,24.0,1.0,2021-02-24
358,21.0,1.0,2021-02-25
359,35.0,4.0,2021-02-26
360,17.0,0.0,2021-02-27
361,17.0,1.0,2021-02-28
362,6.0,2.0,2021-03-01
363,25.0,11.0,2021-03-02
364,27.0,2.0,2021-03-03
365,28.0,4.0,2021-03-04
366,22.0,4.0,2021-03-05
367,17.0,4.0,2021-03-06
368,11.0,3.0,2021-03-07
369,26.0,3.0,2021-03-08
370,27.0,3.0,2021-03-09
371,24.0,6.0,2021-03-10
372,32.0,2.0,2021-03-11
373,22.0,6.0,2021-03-12
374,21.0,1.0,2021-03-13
375,29.0,2.0,2021-03-14
376,35.0,3.0,2021-03-15
377,30.0,8.0,2021-03-16
378,46.0,3.0,2021-03-17
379,49.0,6.0,2021-03-18
