Time,Incidence Number,Imported Cases,date
9,0.0,2.0,2020-03-13
15,0.0,1.0,2020-03-19
18,0.0,1.0,2020-03-22
20,0.0,1.0,2020-03-24
23,0.0,6.0,2020-03-27
24,0.0,1.0,2020-03-28
28,0.0,1.0,2020-04-01
29,0.0,2.0,2020-04-02
31,0.0,1.0,2020-04-04
32,1.0,0.0,2020-04-05
33,0.0,1.0,2020-04-06
34,0.0,1.0,2020-04-07
38,0.0,2.0,2020-04-11
106,1.0,0.0,2020-06-18
107,7.0,0.0,2020-06-19
112,3.0,0.0,2020-06-24
113,2.0,0.0,2020-06-25
114,1.0,0.0,2020-06-26
115,2.0,0.0,2020-06-27
117,1.0,0.0,2020-06-29
121,0.0,2.0,2020-07-03
124,0.0,2.0,2020-07-06
126,1.0,0.0,2020-07-08
143,0.0,2.0,2020-07-25
146,0.0,2.0,2020-07-28
157,0.0,1.0,2020-08-08
158,0.0,1.0,2020-08-09
160,2.0,0.0,2020-08-11
161,0.0,1.0,2020-08-12
162,1.0,0.0,2020-08-13
163,0.0,1.0,2020-08-14
169,1.0,1.0,2020-08-20
184,1.0,0.0,2020-09-04
204,0.0,1.0,2020-09-24
205,0.0,1.0,2020-09-25
226,0.0,1.0,2020-10-16
234,0.0,1.0,2020-10-24
237,0.0,1.0,2020-10-27
238,0.0,1.0,2020-10-28
239,0.0,1.0,2020-10-29
241,0.0,1.0,2020-10-31
242,0.0,1.0,2020-11-01
243,0.0,1.0,2020-11-02
245,0.0,1.0,2020-11-04
246,0.0,1.0,2020-11-05
247,0.0,2.0,2020-11-06
251,0.0,3.0,2020-11-10
252,0.0,1.0,2020-11-11
253,1.0,1.0,2020-11-12
254,2.0,1.0,2020-11-13
255,0.0,2.0,2020-11-14
258,0.0,4.0,2020-11-17
259,0.0,1.0,2020-11-18
260,1.0,3.0,2020-11-19
261,2.0,4.0,2020-11-20
262,0.0,3.0,2020-11-21
263,0.0,1.0,2020-11-22
264,0.0,1.0,2020-11-23
265,1.0,2.0,2020-11-24
266,1.0,4.0,2020-11-25
267,0.0,1.0,2020-11-26
268,1.0,0.0,2020-11-27
269,0.0,1.0,2020-11-28
271,0.0,1.0,2020-11-30
272,2.0,1.0,2020-12-01
273,2.0,1.0,2020-12-02
276,0.0,1.0,2020-12-05
278,1.0,0.0,2020-12-07
279,2.0,0.0,2020-12-08
280,1.0,1.0,2020-12-09
281,3.0,2.0,2020-12-10
282,4.0,0.0,2020-12-11
287,1.0,0.0,2020-12-16
288,1.0,0.0,2020-12-17
290,1.0,0.0,2020-12-19
293,1.0,0.0,2020-12-22
295,2.0,1.0,2020-12-24
296,0.0,1.0,2020-12-25
297,1.0,0.0,2020-12-26
299,1.0,0.0,2020-12-28
301,0.0,1.0,2020-12-30
302,0.0,2.0,2020-12-31
303,0.0,1.0,2021-01-01
306,2.0,1.0,2021-01-04
307,0.0,1.0,2021-01-05
308,2.0,1.0,2021-01-06
310,0.0,9.0,2021-01-08
311,1.0,0.0,2021-01-09
313,1.0,1.0,2021-01-11
314,0.0,1.0,2021-01-12
315,0.0,1.0,2021-01-13
316,0.0,1.0,2021-01-14
317,1.0,0.0,2021-01-15
318,0.0,2.0,2021-01-16
320,0.0,1.0,2021-01-18
322,0.0,1.0,2021-01-20
330,0.0,1.0,2021-01-28
332,0.0,1.0,2021-01-30
337,0.0,1.0,2021-02-04
349,0.0,1.0,2021-02-16
353,0.0,1.0,2021-02-20
355,0.0,1.0,2021-02-22
357,0.0,1.0,2021-02-24
362,0.0,1.0,2021-03-01
366,0.0,2.0,2021-03-05
381,0.0,1.0,2021-03-20
383,0.0,1.0,2021-03-22
386,0.0,1.0,2021-03-25
390,0.0,1.0,2021-03-29
392,0.0,5.0,2021-03-31
393,0.0,1.0,2021-04-01
397,0.0,2.0,2021-04-05
398,0.0,1.0,2021-04-06
