Time,Incidence Number,Imported Cases,date
10,0.0,1.0,2020-03-14
11,0.0,1.0,2020-03-15
13,0.0,1.0,2020-03-17
14,0.0,2.0,2020-03-18
16,0.0,2.0,2020-03-20
17,0.0,2.0,2020-03-21
18,1.0,1.0,2020-03-22
19,0.0,1.0,2020-03-23
20,0.0,1.0,2020-03-24
21,1.0,0.0,2020-03-25
22,1.0,1.0,2020-03-26
23,1.0,0.0,2020-03-27
24,0.0,6.0,2020-03-28
25,2.0,3.0,2020-03-29
26,1.0,1.0,2020-03-30
27,1.0,0.0,2020-03-31
28,1.0,1.0,2020-04-01
29,2.0,5.0,2020-04-02
30,1.0,1.0,2020-04-03
31,2.0,3.0,2020-04-04
32,3.0,1.0,2020-04-05
33,3.0,1.0,2020-04-06
34,5.0,1.0,2020-04-07
35,2.0,0.0,2020-04-08
36,4.0,2.0,2020-04-09
37,11.0,1.0,2020-04-10
38,4.0,0.0,2020-04-11
39,2.0,0.0,2020-04-12
40,1.0,0.0,2020-04-13
41,1.0,1.0,2020-04-14
42,5.0,0.0,2020-04-15
43,2.0,0.0,2020-04-16
44,3.0,0.0,2020-04-17
45,3.0,0.0,2020-04-18
46,2.0,0.0,2020-04-19
47,1.0,1.0,2020-04-20
48,1.0,0.0,2020-04-21
49,2.0,0.0,2020-04-22
50,1.0,0.0,2020-04-23
53,1.0,0.0,2020-04-26
54,1.0,0.0,2020-04-27
55,1.0,0.0,2020-04-28
56,1.0,0.0,2020-04-29
59,1.0,0.0,2020-05-02
65,1.0,0.0,2020-05-08
77,1.0,0.0,2020-05-20
79,1.0,0.0,2020-05-22
86,1.0,0.0,2020-05-29
106,0.0,1.0,2020-06-18
107,0.0,1.0,2020-06-19
117,0.0,1.0,2020-06-29
118,0.0,2.0,2020-06-30
120,0.0,2.0,2020-07-02
121,0.0,1.0,2020-07-03
125,0.0,2.0,2020-07-07
127,0.0,1.0,2020-07-09
128,0.0,2.0,2020-07-10
129,0.0,1.0,2020-07-11
130,1.0,0.0,2020-07-12
138,1.0,2.0,2020-07-20
140,1.0,1.0,2020-07-22
141,1.0,0.0,2020-07-23
142,4.0,0.0,2020-07-24
143,6.0,1.0,2020-07-25
145,1.0,0.0,2020-07-27
146,6.0,3.0,2020-07-28
147,4.0,0.0,2020-07-29
148,3.0,0.0,2020-07-30
150,1.0,0.0,2020-08-01
151,3.0,3.0,2020-08-02
154,1.0,1.0,2020-08-05
155,1.0,0.0,2020-08-06
156,2.0,1.0,2020-08-07
157,0.0,1.0,2020-08-08
158,1.0,0.0,2020-08-09
159,4.0,0.0,2020-08-10
160,1.0,0.0,2020-08-11
161,5.0,1.0,2020-08-12
162,8.0,1.0,2020-08-13
163,6.0,1.0,2020-08-14
164,11.0,3.0,2020-08-15
165,8.0,0.0,2020-08-16
166,6.0,0.0,2020-08-17
167,18.0,3.0,2020-08-18
168,1.0,1.0,2020-08-19
169,6.0,0.0,2020-08-20
170,8.0,1.0,2020-08-21
171,11.0,1.0,2020-08-22
172,9.0,0.0,2020-08-23
173,3.0,0.0,2020-08-24
174,8.0,0.0,2020-08-25
175,7.0,0.0,2020-08-26
176,7.0,0.0,2020-08-27
177,7.0,0.0,2020-08-28
178,4.0,0.0,2020-08-29
179,1.0,0.0,2020-08-30
180,5.0,0.0,2020-08-31
181,2.0,0.0,2020-09-01
182,3.0,0.0,2020-09-02
183,1.0,0.0,2020-09-03
184,3.0,1.0,2020-09-04
185,3.0,0.0,2020-09-05
186,4.0,0.0,2020-09-06
187,2.0,0.0,2020-09-07
188,1.0,0.0,2020-09-08
189,3.0,0.0,2020-09-09
190,4.0,0.0,2020-09-10
191,5.0,2.0,2020-09-11
192,2.0,0.0,2020-09-12
193,2.0,0.0,2020-09-13
196,3.0,0.0,2020-09-16
198,2.0,0.0,2020-09-18
199,1.0,0.0,2020-09-19
202,1.0,0.0,2020-09-22
203,2.0,0.0,2020-09-23
208,1.0,1.0,2020-09-28
209,0.0,1.0,2020-09-29
212,2.0,1.0,2020-10-02
213,0.0,1.0,2020-10-03
215,1.0,0.0,2020-10-05
216,1.0,0.0,2020-10-06
217,1.0,0.0,2020-10-07
222,11.0,0.0,2020-10-12
223,1.0,0.0,2020-10-13
224,1.0,0.0,2020-10-14
229,1.0,1.0,2020-10-19
230,4.0,0.0,2020-10-20
231,17.0,1.0,2020-10-21
232,28.0,0.0,2020-10-22
233,14.0,1.0,2020-10-23
234,17.0,1.0,2020-10-24
236,11.0,0.0,2020-10-26
237,8.0,1.0,2020-10-27
238,2.0,0.0,2020-10-28
239,4.0,1.0,2020-10-29
240,1.0,0.0,2020-10-30
242,3.0,0.0,2020-11-01
243,3.0,0.0,2020-11-02
244,4.0,1.0,2020-11-03
245,1.0,0.0,2020-11-04
246,3.0,4.0,2020-11-05
247,2.0,0.0,2020-11-06
248,2.0,0.0,2020-11-07
250,2.0,4.0,2020-11-09
251,2.0,4.0,2020-11-10
252,2.0,4.0,2020-11-11
253,0.0,1.0,2020-11-12
254,1.0,0.0,2020-11-13
255,5.0,3.0,2020-11-14
256,0.0,2.0,2020-11-15
257,3.0,0.0,2020-11-16
258,5.0,4.0,2020-11-17
259,4.0,1.0,2020-11-18
260,9.0,1.0,2020-11-19
261,4.0,0.0,2020-11-20
262,7.0,4.0,2020-11-21
263,3.0,1.0,2020-11-22
264,3.0,1.0,2020-11-23
265,8.0,5.0,2020-11-24
266,3.0,1.0,2020-11-25
267,4.0,5.0,2020-11-26
268,3.0,0.0,2020-11-27
269,9.0,1.0,2020-11-28
270,1.0,3.0,2020-11-29
271,4.0,0.0,2020-11-30
272,13.0,0.0,2020-12-01
273,13.0,2.0,2020-12-02
274,14.0,3.0,2020-12-03
275,3.0,4.0,2020-12-04
276,8.0,3.0,2020-12-05
277,7.0,2.0,2020-12-06
278,10.0,5.0,2020-12-07
279,8.0,2.0,2020-12-08
280,16.0,3.0,2020-12-09
281,20.0,2.0,2020-12-10
282,5.0,3.0,2020-12-11
283,13.0,2.0,2020-12-12
284,7.0,1.0,2020-12-13
285,11.0,2.0,2020-12-14
286,7.0,1.0,2020-12-15
287,10.0,1.0,2020-12-16
288,6.0,7.0,2020-12-17
289,7.0,4.0,2020-12-18
290,10.0,4.0,2020-12-19
291,6.0,0.0,2020-12-20
292,13.0,3.0,2020-12-21
293,26.0,7.0,2020-12-22
294,14.0,2.0,2020-12-23
295,15.0,5.0,2020-12-24
296,16.0,2.0,2020-12-25
297,14.0,0.0,2020-12-26
298,8.0,1.0,2020-12-27
299,15.0,2.0,2020-12-28
300,22.0,5.0,2020-12-29
301,24.0,3.0,2020-12-30
302,43.0,5.0,2020-12-31
303,26.0,3.0,2021-01-01
304,9.0,1.0,2021-01-02
305,18.0,4.0,2021-01-03
306,25.0,5.0,2021-01-04
307,51.0,6.0,2021-01-05
308,17.0,7.0,2021-01-06
309,47.0,4.0,2021-01-07
310,24.0,6.0,2021-01-08
311,30.0,4.0,2021-01-09
312,21.0,0.0,2021-01-10
313,9.0,3.0,2021-01-11
314,31.0,3.0,2021-01-12
315,24.0,2.0,2021-01-13
316,29.0,3.0,2021-01-14
317,26.0,3.0,2021-01-15
318,18.0,3.0,2021-01-16
319,9.0,0.0,2021-01-17
320,11.0,4.0,2021-01-18
321,30.0,0.0,2021-01-19
322,18.0,1.0,2021-01-20
323,23.0,0.0,2021-01-21
324,32.0,2.0,2021-01-22
325,20.0,0.0,2021-01-23
326,8.0,0.0,2021-01-24
327,24.0,3.0,2021-01-25
328,19.0,4.0,2021-01-26
329,24.0,0.0,2021-01-27
330,17.0,1.0,2021-01-28
331,9.0,0.0,2021-01-29
332,20.0,0.0,2021-01-30
333,17.0,0.0,2021-01-31
334,22.0,0.0,2021-02-01
335,13.0,2.0,2021-02-02
336,25.0,2.0,2021-02-03
337,12.0,2.0,2021-02-04
338,12.0,2.0,2021-02-05
339,9.0,0.0,2021-02-06
340,6.0,1.0,2021-02-07
341,9.0,0.0,2021-02-08
342,20.0,1.0,2021-02-09
343,22.0,2.0,2021-02-10
344,12.0,0.0,2021-02-11
345,3.0,1.0,2021-02-12
346,3.0,4.0,2021-02-13
347,3.0,0.0,2021-02-14
348,7.0,2.0,2021-02-15
349,9.0,0.0,2021-02-16
350,21.0,0.0,2021-02-17
351,11.0,1.0,2021-02-18
352,27.0,0.0,2021-02-19
353,28.0,0.0,2021-02-20
354,15.0,2.0,2021-02-21
355,13.0,3.0,2021-02-22
356,16.0,2.0,2021-02-23
357,13.0,2.0,2021-02-24
358,43.0,1.0,2021-02-25
359,15.0,0.0,2021-02-26
360,8.0,0.0,2021-02-27
361,9.0,1.0,2021-02-28
362,11.0,0.0,2021-03-01
363,18.0,0.0,2021-03-02
364,18.0,0.0,2021-03-03
365,41.0,2.0,2021-03-04
366,9.0,2.0,2021-03-05
367,11.0,0.0,2021-03-06
368,16.0,2.0,2021-03-07
369,9.0,0.0,2021-03-08
370,17.0,1.0,2021-03-09
371,20.0,1.0,2021-03-10
372,22.0,0.0,2021-03-11
373,16.0,2.0,2021-03-12
374,15.0,0.0,2021-03-13
375,7.0,0.0,2021-03-14
376,23.0,0.0,2021-03-15
377,40.0,1.0,2021-03-16
378,35.0,1.0,2021-03-17
379,21.0,1.0,2021-03-18
380,25.0,1.0,2021-03-19
381,20.0,1.0,2021-03-20
382,8.0,1.0,2021-03-21
383,21.0,2.0,2021-03-22
384,19.0,1.0,2021-03-23
385,40.0,4.0,2021-03-24
386,29.0,1.0,2021-03-25
387,23.0,3.0,2021-03-26
388,31.0,4.0,2021-03-27
389,12.0,0.0,2021-03-28
390,29.0,2.0,2021-03-29
391,28.0,2.0,2021-03-30
392,31.0,0.0,2021-03-31
393,22.0,2.0,2021-04-01
394,22.0,3.0,2021-04-02
395,20.0,3.0,2021-04-03
396,21.0,0.0,2021-04-04
397,15.0,0.0,2021-04-05
398,39.0,1.0,2021-04-06
399,11.0,0.0,2021-04-07
400,26.0,1.0,2021-04-08
401,11.0,0.0,2021-04-09
402,13.0,2.0,2021-04-10
403,17.0,1.0,2021-04-11
