Date Added,Risk2,Traveler,County2,Date Added (copy),Freq - Hawaii,Freq - Honolulu,Freq - Kauai,Freq - Maui,Frequency Count,Total Number of Cases
3/5/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,3/5/2020,0,1,0,0,1,1
3/8/2020,Travel-Associated (Resident),Travel History,Honolulu,3/8/2020,0,1,0,0,1,1
3/13/2020,Travel-Associated (Non-Resident),Travel History,Kauai,3/13/2020,0,0,2,0,2,2
3/14/2020,Travel-Associated (Resident),Travel History,Honolulu,3/14/2020,0,2,0,0,2,2
3/14/2020,Travel-Associated (Non-Resident),Travel History,Maui,3/14/2020,0,0,0,1,1,1
3/15/2020,Travel-Associated (Resident),Travel History,Honolulu,3/15/2020,0,2,0,0,2,2
3/15/2020,Travel-Associated (Non-Resident),Travel History,Maui,3/15/2020,0,0,0,1,1,1
3/16/2020,Travel-Associated (Resident),Travel History,Honolulu,3/16/2020,0,1,0,0,1,1
3/17/2020,Travel-Associated (Non-Resident),Travel History,Hawaii,3/17/2020,1,0,0,0,1,1
3/17/2020,Travel-Associated (Resident),Travel History,Honolulu,3/17/2020,0,3,0,0,3,3
3/17/2020,Travel-Associated (Resident),Travel History,Maui,3/17/2020,0,0,0,1,1,1
3/18/2020,Travel-Associated (Resident),Travel History,Honolulu,3/18/2020,0,4,0,0,4,4
3/18/2020,Travel-Associated (Resident),Travel History,Maui,3/18/2020,0,0,0,2,2,2
3/19/2020,Community-Associated,No Travel History,Honolulu,3/19/2020,0,1,0,0,1,1
3/19/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,3/19/2020,0,1,0,0,1,1
3/19/2020,Travel-Associated (Resident),Travel History,Honolulu,3/19/2020,0,14,0,0,14,14
3/19/2020,Travel-Associated (Resident),Travel History,Kauai,3/19/2020,0,0,1,0,1,1
3/20/2020,Travel-Associated (Non-Resident),Travel History,Hawaii,3/20/2020,1,0,0,0,1,1
3/20/2020,Travel-Associated (Resident),Travel History,Hawaii,3/20/2020,1,0,0,0,1,1
3/20/2020,Community-Associated,No Travel History,Honolulu,3/20/2020,0,1,0,0,1,1
3/20/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,3/20/2020,0,1,0,0,1,1
3/20/2020,Travel-Associated (Resident),Travel History,Honolulu,3/20/2020,0,4,0,0,4,4
3/20/2020,Travel-Associated (Resident),Travel History,Maui,3/20/2020,0,0,0,2,2,2
3/21/2020,Community-Associated,No Travel History,Honolulu,3/21/2020,0,1,0,0,1,1
3/21/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,3/21/2020,0,1,0,0,1,1
3/21/2020,Travel-Associated (Resident),Travel History,Honolulu,3/21/2020,0,6,0,0,6,6
3/21/2020,Travel-Associated (Resident),Travel History,Maui,3/21/2020,0,0,0,2,2,2
3/22/2020,Travel-Associated (Non-Resident),Travel History,Hawaii,3/22/2020,1,0,0,0,1,1
3/22/2020,Community-Associated,No Travel History,Honolulu,3/22/2020,0,3,0,0,3,3
3/22/2020,Travel-Associated (Non-Resident),Travel History,Honolulu,3/22/2020,0,1,0,0,1,1
3/22/2020,Travel-Associated (Resident),Travel History,Honolulu,3/22/2020,0,12,0,0,12,12
3/22/2020,Travel-Associated (Non-Resident),Travel History,Kauai,3/22/2020,0,0,1,0,1,1
