Time,Incidence Number,Imported Cases,date
1,0.0,2.0,2020-01-23
2,0.0,3.0,2020-01-24
4,0.0,3.0,2020-01-26
7,0.0,2.0,2020-01-29
8,2.0,0.0,2020-01-30
9,0.0,1.0,2020-01-31
10,0.0,1.0,2020-02-01
11,1.0,0.0,2020-02-02
13,3.0,0.0,2020-02-04
14,3.0,0.0,2020-02-05
15,3.0,0.0,2020-02-06
16,0.0,2.0,2020-02-07
18,10.0,0.0,2020-02-09
19,6.0,0.0,2020-02-10
20,7.0,0.0,2020-02-11
21,1.0,0.0,2020-02-12
22,3.0,0.0,2020-02-13
23,3.0,0.0,2020-02-14
25,1.0,0.0,2020-02-16
26,3.0,0.0,2020-02-17
27,2.0,0.0,2020-02-18
28,3.0,0.0,2020-02-19
29,4.0,0.0,2020-02-20
31,1.0,0.0,2020-02-22
32,4.0,1.0,2020-02-23
33,2.0,4.0,2020-02-24
34,4.0,0.0,2020-02-25
35,4.0,2.0,2020-02-26
36,2.0,0.0,2020-02-27
37,0.0,1.0,2020-02-28
38,1.0,0.0,2020-02-29
39,3.0,2.0,2020-03-01
40,1.0,0.0,2020-03-02
42,3.0,1.0,2020-03-04
44,2.0,1.0,2020-03-06
45,0.0,2.0,2020-03-07
46,3.0,2.0,2020-03-08
47,1.0,0.0,2020-03-09
48,2.0,3.0,2020-03-10
49,1.0,8.0,2020-03-11
50,0.0,2.0,2020-03-12
51,3.0,3.0,2020-03-13
52,1.0,3.0,2020-03-14
53,1.0,6.0,2020-03-15
54,2.0,7.0,2020-03-16
55,3.0,7.0,2020-03-17
56,12.0,13.0,2020-03-18
57,6.0,10.0,2020-03-19
58,23.0,25.0,2020-03-20
59,8.0,9.0,2020-03-21
60,24.0,20.0,2020-03-22
61,18.0,21.0,2020-03-23
62,17.0,13.0,2020-03-24
63,10.0,14.0,2020-03-25
64,18.0,25.0,2020-03-26
65,30.0,35.0,2020-03-27
66,20.0,44.0,2020-03-28
67,23.0,36.0,2020-03-29
68,9.0,32.0,2020-03-30
69,9.0,23.0,2020-03-31
