Time,Incidence Number,Imported Cases,date
1,0,0,2020-02-10
2,0,0,2020-02-11
3,0,0,2020-02-12
4,0,0,2020-02-13
5,0,0,2020-02-14
6,0,0,2020-02-15
7,0,0,2020-02-16
8,0,0,2020-02-17
9,0,0,2020-02-18
10,0,0,2020-02-19
11,0,0,2020-02-20
12,0,0,2020-02-21
13,0,0,2020-02-22
14,0,0,2020-02-23
15,0,0,2020-02-24
16,0,0,2020-02-25
17,0,1,2020-02-26
18,0,0,2020-02-27
19,0,0,2020-02-28
20,0,0,2020-02-29
21,0,0,2020-03-01
22,0,1,2020-03-02
23,0,0,2020-03-03
24,0,2,2020-03-04
25,0,2,2020-03-05
26,0,1,2020-03-06
27,0,0,2020-03-07
28,0,0,2020-03-08
29,0,0,2020-03-09
30,0,0,2020-03-10
31,0,0,2020-03-11
32,0,1,2020-03-12
33,0,1,2020-03-13
34,0,1,2020-03-14
35,0,1,2020-03-15
36,0,7,2020-03-16
37,0,12,2020-03-17
38,1,4,2020-03-18
39,2,16,2020-03-19
40,2,9,2020-03-20
41,4,20,2020-03-21
42,1,43,2020-03-22
43,4,37,2020-03-23
44,7,51,2020-03-24
45,14,70,2020-03-25
46,16,63,2020-03-26
47,17,58,2020-03-27
48,22,50,2020-03-28
49,17,57,2020-03-29
50,14,38,2020-03-30
51,25,52,2020-03-31
52,11,62,2020-04-01
53,30,52,2020-04-02
54,24,51,2020-04-03
55,37,40,2020-04-04
56,32,38,2020-04-05
57,25,28,2020-04-06
58,17,20,2020-04-07
59,13,15,2020-04-08
60,23,21,2020-04-09
61,10,17,2020-04-10
62,10,15,2020-04-11
63,9,11,2020-04-12
64,8,3,2020-04-13
65,4,12,2020-04-14
66,5,6,2020-04-15
67,9,8,2020-04-16
68,5,7,2020-04-17
69,7,3,2020-04-18
70,8,2,2020-04-19
71,1,2,2020-04-20
72,3,3,2020-04-21
73,4,1,2020-04-22
74,3,2,2020-04-23
75,6,0,2020-04-24
76,5,1,2020-04-25
77,1,2,2020-04-26
78,2,1,2020-04-27
79,0,1,2020-04-28
80,1,1,2020-04-29
81,3,0,2020-04-30
82,6,0,2020-05-01
83,0,0,2020-05-02
84,0,1,2020-05-03
85,0,0,2020-05-04
86,2,0,2020-05-05
87,1,1,2020-05-06
88,1,0,2020-05-07
89,1,0,2020-05-08
90,0,1,2020-05-09
91,2,1,2020-05-10
92,0,0,2020-05-11
93,0,0,2020-05-12
94,0,0,2020-05-13
95,1,0,2020-05-14
96,1,0,2020-05-15
97,0,0,2020-05-16
98,0,0,2020-05-17
99,0,0,2020-05-18
100,0,0,2020-05-19
101,0,0,2020-05-20
102,0,0,2020-05-21
103,1,0,2020-05-22
104,0,0,2020-05-23
105,0,0,2020-05-24
106,0,0,2020-05-25
107,0,0,2020-05-26
108,0,0,2020-05-27
109,0,0,2020-05-28
110,0,0,2020-05-29
111,0,0,2020-05-30
112,0,0,2020-05-31
113,0,0,2020-06-01
114,0,0,2020-06-02
115,0,0,2020-06-03
116,0,0,2020-06-04
117,0,0,2020-06-05
118,0,0,2020-06-06
119,0,0,2020-06-07
120,0,0,2020-06-08
121,0,0,2020-06-09
122,0,0,2020-06-10
123,0,0,2020-06-11
124,0,0,2020-06-12
125,0,0,2020-06-13
126,0,0,2020-06-14
127,0,0,2020-06-15
128,0,2,2020-06-16
129,0,1,2020-06-17
130,0,0,2020-06-18
131,0,2,2020-06-19
132,0,1,2020-06-20
133,0,3,2020-06-21
134,0,2,2020-06-22
135,0,1,2020-06-23
136,0,3,2020-06-24
137,0,1,2020-06-25
138,0,1,2020-06-26
139,0,5,2020-06-27
140,0,1,2020-06-28
141,0,1,2020-06-29
142,0,0,2020-06-30
143,0,1,2020-07-01
144,0,1,2020-07-02
145,0,0,2020-07-03
146,0,0,2020-07-04
147,0,3,2020-07-05
148,0,3,2020-07-06
149,0,2,2020-07-07
150,0,2,2020-07-08
151,0,3,2020-07-09
152,0,0,2020-07-10
153,0,1,2020-07-11
154,0,0,2020-07-12
155,0,1,2020-07-13
156,0,3,2020-07-14
157,0,0,2020-07-15
158,0,1,2020-07-16
159,0,2,2020-07-17
160,0,2,2020-07-18
161,0,1,2020-07-19
162,0,1,2020-07-20
163,0,0,2020-07-21
164,0,0,2020-07-22
165,0,0,2020-07-23
166,0,1,2020-07-24
167,0,0,2020-07-25
168,0,0,2020-07-26
169,0,2,2020-07-27
170,0,1,2020-07-28
171,0,1,2020-07-29
172,0,0,2020-07-30
173,0,2,2020-07-31
174,0,2,2020-08-01
175,0,3,2020-08-02
176,0,0,2020-08-03
177,0,2,2020-08-04
178,0,0,2020-08-05
179,0,0,2020-08-06
180,0,0,2020-08-07
181,0,0,2020-08-08
182,0,0,2020-08-09
183,0,0,2020-08-10
184,4,1,2020-08-11
185,13,2,2020-08-12
186,12,0,2020-08-13
187,5,0,2020-08-14
188,13,1,2020-08-15
189,11,1,2020-08-16
190,9,0,2020-08-17
191,10,1,2020-08-18
192,5,0,2020-08-19
193,5,2,2020-08-20
194,6,1,2020-08-21
195,2,2,2020-08-22
196,7,1,2020-08-23
197,7,0,2020-08-24
198,3,1,2020-08-25
199,5,2,2020-08-26
200,6,0,2020-08-27
201,9,9,2020-08-28
202,4,0,2020-08-29
203,4,1,2020-08-30
204,2,12,2020-08-31
205,4,2,2020-09-01
206,4,1,2020-09-02
207,2,1,2020-09-03
208,2,3,2020-09-04
209,5,2,2020-09-05
210,2,1,2020-09-06
211,4,2,2020-09-07
212,6,0,2020-09-08
213,1,2,2020-09-09
214,2,0,2020-09-10
215,2,0,2020-09-11
216,1,1,2020-09-12
217,1,0,2020-09-13
218,0,5,2020-09-14
219,0,0,2020-09-15
220,0,12,2020-09-16
221,0,0,2020-09-17
222,0,3,2020-09-18
223,0,3,2020-09-19
