Date,Region,Daily import-related case,Daily imported case,Daily locally acquired case  unknown source,Daily locally acquired  epidemiologically linked,Daily under investigation,Daily total cases,Cumulative import-related case,Cumulative imported case,Cumulative locally acquired case  unknown source,Cumulative locally acquired  epidemiologically linked,Cumulative under investigation,Cumulative total cases
14/04/2021,Auckland,0,1,0,0,0,1,26,425,13,119,3,586
14/04/2021,Bay of Plenty,0,0,0,0,0,0,16,23,5,5,0,49
14/04/2021,Canterbury,0,0,0,0,0,0,18,214,8,99,0,339
14/04/2021,Capital and Coast,0,0,0,0,0,0,38,58,1,4,0,101
14/04/2021,Counties Manukau,0,0,0,0,0,0,29,361,16,132,1,539
14/04/2021,Hawke's Bay,0,0,0,0,0,0,14,21,1,8,0,44
14/04/2021,Hutt Valley,0,0,0,0,0,0,8,15,0,2,0,25
14/04/2021,Lakes,0,0,0,0,0,0,2,12,2,0,0,16
14/04/2021,Midcentral,0,0,0,0,0,0,6,21,0,6,0,33
14/04/2021,Nelson Marlborough,0,0,0,0,0,0,15,27,4,4,0,50
14/04/2021,Northland,0,0,0,0,0,0,7,13,5,4,0,29
14/04/2021,South Canterbury,0,0,0,0,0,0,2,5,6,4,0,17
14/04/2021,Southern,0,0,0,0,0,0,131,53,19,14,0,217
14/04/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
14/04/2021,Taranaki,0,0,0,0,0,0,2,14,0,0,0,16
14/04/2021,Waikato,0,0,0,0,0,0,133,61,2,4,0,200
14/04/2021,Wairarapa,0,0,0,0,0,0,3,4,1,0,0,8
14/04/2021,Waitemata,0,0,0,0,0,0,35,88,9,170,0,302
14/04/2021,West Coast,0,0,0,0,0,0,1,1,2,1,0,5
14/04/2021,Whanganui,0,0,0,0,0,0,0,7,2,0,0,9
13/04/2021,Auckland,0,1,0,0,0,1,26,424,13,119,3,585
13/04/2021,Bay of Plenty,0,0,0,0,0,0,16,23,5,5,0,49
13/04/2021,Canterbury,0,0,0,0,0,0,18,214,8,99,0,339
13/04/2021,Capital and Coast,0,0,0,0,0,0,38,58,1,4,0,101
13/04/2021,Counties Manukau,0,0,0,0,0,0,29,361,16,132,1,539
13/04/2021,Hawke's Bay,0,0,0,0,0,0,14,21,1,8,0,44
13/04/2021,Hutt Valley,0,0,0,0,0,0,8,15,0,2,0,25
13/04/2021,Lakes,0,0,0,0,0,0,2,12,2,0,0,16
13/04/2021,Midcentral,0,0,0,0,0,0,6,21,0,6,0,33
13/04/2021,Nelson Marlborough,0,0,0,0,0,0,15,27,4,4,0,50
13/04/2021,Northland,0,0,0,0,0,0,7,13,5,4,0,29
13/04/2021,South Canterbury,0,0,0,0,0,0,2,5,6,4,0,17
13/04/2021,Southern,0,0,0,0,0,0,131,53,19,14,0,217
13/04/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
13/04/2021,Taranaki,0,0,0,0,0,0,2,14,0,0,0,16
13/04/2021,Waikato,0,0,0,0,0,0,133,61,2,4,0,200
13/04/2021,Wairarapa,0,0,0,0,0,0,3,4,1,0,0,8
13/04/2021,Waitemata,0,0,0,0,0,0,35,88,9,170,0,302
13/04/2021,West Coast,0,0,0,0,0,0,1,1,2,1,0,5
13/04/2021,Whanganui,0,0,0,0,0,0,0,7,2,0,0,9
12/04/2021,Auckland,0,0,0,0,0,0,26,423,13,119,3,584
12/04/2021,Bay of Plenty,0,0,0,0,0,0,16,23,5,5,0,49
12/04/2021,Canterbury,0,0,0,0,0,0,18,214,8,99,0,339
12/04/2021,Capital and Coast,0,0,0,0,0,0,38,58,1,4,0,101
12/04/2021,Counties Manukau,0,3,0,0,1,4,29,361,16,132,1,539
12/04/2021,Hawke's Bay,0,0,0,0,0,0,14,21,1,8,0,44
12/04/2021,Hutt Valley,0,0,0,0,0,0,8,15,0,2,0,25
12/04/2021,Lakes,0,0,0,0,0,0,2,12,2,0,0,16
12/04/2021,Midcentral,0,0,0,0,0,0,6,21,0,6,0,33
12/04/2021,Nelson Marlborough,0,0,0,0,0,0,15,27,4,4,0,50
12/04/2021,Northland,0,0,0,0,0,0,7,13,5,4,0,29
12/04/2021,South Canterbury,0,0,0,0,0,0,2,5,6,4,0,17
12/04/2021,Southern,0,0,0,0,0,0,131,53,19,14,0,217
12/04/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
