Time,Incidence Number,Imported Cases,date
1,0,2,Sun Mar 01 2020
2,0,0,Mon Mar 02 2020
3,0,2,Tue Mar 03 2020
4,0,1,Wed Mar 04 2020
5,0,4,Thu Mar 05 2020
6,1,1,Fri Mar 06 2020
7,0,3,Sat Mar 07 2020
8,1,4,Sun Mar 08 2020
9,1,4,Mon Mar 09 2020
10,3,6,Tue Mar 10 2020
11,7,17,Wed Mar 11 2020
12,11,26,Thu Mar 12 2020
13,10,26,Fri Mar 13 2020
14,7,24,Sat Mar 14 2020
15,5,31,Sun Mar 15 2020
16,19,34,Mon Mar 16 2020
17,17,41,Tue Mar 17 2020
18,28,29,Wed Mar 18 2020
19,37,28,Thu Mar 19 2020
20,52,45,Fri Mar 20 2020
21,44,27,Sat Mar 21 2020
22,58,27,Sun Mar 22 2020
23,95,48,Mon Mar 23 2020
24,111,61,Tue Mar 24 2020
25,92,44,Wed Mar 25 2020
26,173,74,Thu Mar 26 2020
27,201,90,Fri Mar 27 2020
28,157,78,Sat Mar 28 2020
29,176,51,Sun Mar 29 2020
30,323,113,Mon Mar 30 2020
31,311,99,Tue Mar 31 2020
32,367,81,Wed Apr 01 2020
33,378,70,Thu Apr 02 2020
34,404,59,Fri Apr 03 2020
35,317,31,Sat Apr 04 2020
36,343,28,Sun Apr 05 2020
37,440,33,Mon Apr 06 2020
38,433,24,Tue Apr 07 2020
39,464,24,Wed Apr 08 2020
40,449,30,Thu Apr 09 2020
41,378,18,Fri Apr 10 2020
42,456,14,Sat Apr 11 2020
43,518,20,Sun Apr 12 2020
44,579,13,Mon Apr 13 2020
45,546,6,Tue Apr 14 2020
46,605,8,Wed Apr 15 2020
47,566,6,Thu Apr 16 2020
48,728,11,Fri Apr 17 2020
49,594,6,Sat Apr 18 2020
50,582,8,Sun Apr 19 2020
51,605,4,Mon Apr 20 2020
52,512,6,Tue Apr 21 2020
53,538,8,Wed Apr 22 2020
54,503,6,Thu Apr 23 2020
55,427,6,Fri Apr 24 2020
56,421,4,Sat Apr 25 2020
57,366,1,Sun Apr 26 2020
58,478,1,Mon Apr 27 2020
59,408,4,Tue Apr 28 2020
60,406,1,Wed Apr 29 2020
61,401,3,Thu Apr 30 2020
62,480,8,Fri May 01 2020
63,330,2,Sat May 02 2020
64,339,0,Sun May 03 2020
65,330,2,Mon May 04 2020
66,408,0,Tue May 05 2020
67,353,2,Wed May 06 2020
68,301,3,Thu May 07 2020
69,294,1,Fri May 08 2020
70,309,1,Sat May 09 2020
71,292,0,Sun May 10 2020
72,214,1,Mon May 11 2020
73,246,2,Tue May 12 2020
74,348,3,Wed May 13 2020
75,340,1,Thu May 14 2020
76,376,4,Fri May 15 2020
77,362,3,Sat May 16 2020
78,413,5,Sun May 17 2020
79,377,1,Mon May 18 2020
80,325,1,Tue May 19 2020
81,387,0,Wed May 20 2020
82,335,3,Thu May 21 2020
83,398,2,Fri May 22 2020
84,365,2,Sat May 23 2020
85,338,3,Sun May 24 2020
86,393,5,Mon May 25 2020
87,270,2,Tue May 26 2020
88,322,2,Wed May 27 2020
89,324,1,Thu May 28 2020
90,593,2,Fri May 29 2020
91,343,3,Sat May 30 2020
92,413,1,Sun May 31 2020
93,397,1,Mon Jun 01 2020
94,362,3,Tue Jun 02 2020
95,345,2,Wed Jun 03 2020
96,277,2,Thu Jun 04 2020
97,276,2,Fri Jun 05 2020
