category,Travel,Close contact,Community spread,Outbreak setting,Other
Wed Jan 15 2020,0,0,0,0,0
Thu Jan 16 2020,0,0,0,0,0
Fri Jan 17 2020,0,0,0,0,0
Sat Jan 18 2020,0,0,0,0,0
Sun Jan 19 2020,0,0,0,0,0
Mon Jan 20 2020,0,0,0,0,0
Tue Jan 21 2020,0,0,0,0,0
Wed Jan 22 2020,0,0,0,0,0
Thu Jan 23 2020,2,0,0,0,0
Fri Jan 24 2020,1,0,0,0,0
Sat Jan 25 2020,0,0,0,0,0
Sun Jan 26 2020,0,0,0,0,0
Mon Jan 27 2020,0,0,0,0,0
Tue Jan 28 2020,0,0,0,0,0
Wed Jan 29 2020,0,0,0,0,0
Thu Jan 30 2020,0,0,0,0,0
Fri Jan 31 2020,0,0,0,0,0
Sat Feb 01 2020,0,0,0,0,0
Sun Feb 02 2020,0,0,0,0,0
Mon Feb 03 2020,0,0,0,0,0
Tue Feb 04 2020,0,0,0,0,0
Wed Feb 05 2020,0,0,0,0,0
Thu Feb 06 2020,0,0,0,0,0
Fri Feb 07 2020,0,0,0,0,0
Sat Feb 08 2020,0,0,0,0,0
Sun Feb 09 2020,0,0,0,0,0
Mon Feb 10 2020,0,0,0,0,0
Tue Feb 11 2020,0,0,0,0,0
Wed Feb 12 2020,0,0,0,0,0
Thu Feb 13 2020,0,0,0,0,0
Fri Feb 14 2020,0,0,0,0,0
Sat Feb 15 2020,0,0,0,0,0
Sun Feb 16 2020,0,0,0,0,0
Mon Feb 17 2020,0,0,0,0,0
Tue Feb 18 2020,0,0,0,0,0
Wed Feb 19 2020,0,0,0,0,0
Thu Feb 20 2020,0,0,0,0,0
Fri Feb 21 2020,1,0,0,0,0
Sat Feb 22 2020,0,0,0,0,0
Sun Feb 23 2020,0,0,0,0,0
Mon Feb 24 2020,0,0,0,0,0
Tue Feb 25 2020,1,0,0,0,0
Wed Feb 26 2020,1,0,0,0,0
Thu Feb 27 2020,2,0,0,0,0
Fri Feb 28 2020,4,1,0,0,0
Sat Feb 29 2020,4,0,0,0,0
Sun Mar 01 2020,2,0,0,0,0
Mon Mar 02 2020,0,0,0,0,0
Tue Mar 03 2020,2,0,0,0,0
Wed Mar 04 2020,1,0,0,0,0
Thu Mar 05 2020,4,0,0,0,0
Fri Mar 06 2020,1,0,0,1,0
Sat Mar 07 2020,3,0,0,0,0
Sun Mar 08 2020,4,0,0,1,0
Mon Mar 09 2020,4,1,0,0,0
Tue Mar 10 2020,6,3,0,0,0
Wed Mar 11 2020,17,6,0,1,0
Thu Mar 12 2020,26,5,6,0,0
Fri Mar 13 2020,26,6,2,1,1
Sat Mar 14 2020,24,4,3,0,0
Sun Mar 15 2020,31,1,3,1,0
Mon Mar 16 2020,34,9,8,0,2
Tue Mar 17 2020,41,6,9,2,0
Wed Mar 18 2020,29,14,10,2,2
Thu Mar 19 2020,28,10,16,7,4
Fri Mar 20 2020,45,14,24,12,2
Sat Mar 21 2020,27,12,21,11,0
Sun Mar 22 2020,27,22,21,13,2
Mon Mar 23 2020,48,31,37,21,6
Tue Mar 24 2020,61,32,51,23,5
Wed Mar 25 2020,44,34,37,17,4
Thu Mar 26 2020,74,52,94,18,9
Fri Mar 27 2020,90,59,102,29,11
Sat Mar 28 2020,78,58,59,34,6
Sun Mar 29 2020,51,67,65,40,4
Mon Mar 30 2020,113,132,128,50,13
Tue Mar 31 2020,99,111,117,68,15
Wed Apr 01 2020,81,133,109,109,16
Thu Apr 02 2020,70,131,116,116,15
Fri Apr 03 2020,59,103,100,192,9
Sat Apr 04 2020,31,92,85,131,9
Sun Apr 05 2020,28,115,97,125,6
Mon Apr 06 2020,33,109,104,218,9
Tue Apr 07 2020,24,110,86,228,9
Wed Apr 08 2020,24,131,81,246,6
Thu Apr 09 2020,30,130,91,220,8
Fri Apr 10 2020,18,97,76,199,6
Sat Apr 11 2020,14,122,85,242,7
Sun Apr 12 2020,20,93,59,361,5
Mon Apr 13 2020,13,117,76,382,4
Tue Apr 14 2020,6,78,67,393,8
Wed Apr 15 2020,8,92,59,445,9
Thu Apr 16 2020,6,101,66,386,13
Fri Apr 17 2020,11,121,71,521,15
Sat Apr 18 2020,6,119,62,400,13
Sun Apr 19 2020,8,135,56,375,16
Mon Apr 20 2020,4,114,89,381,21
Tue Apr 21 2020,6,108,49,347,8
Wed Apr 22 2020,8,104,82,344,8
Thu Apr 23 2020,6,115,71,311,6
Fri Apr 24 2020,6,119,80,213,15
Sat Apr 25 2020,4,103,63,244,11
Sun Apr 26 2020,1,79,60,216,11
Mon Apr 27 2020,1,126,69,269,14
