time_index,year,week,day,inc,inc_low,inc_up,inc100,inc100_low,inc100_up
1,1984,44,NA,68422,20056,116788,125,37,213
2,1984,45,NA,135223,101414,169032,246,184,308
3,1984,46,NA,87330,67686,106974,159,123,195
4,1984,47,NA,72029,54274,89784,131,99,163
5,1984,48,NA,78620,60634,96606,143,110,176
6,1984,49,NA,101073,81684,120462,184,149,219
7,1984,50,NA,123680,101401,145959,225,184,266
8,1984,51,NA,101726,80242,123210,185,146,224
9,1984,52,NA,84830,60602,109058,154,110,198
10,1985,1,NA,85489,65918,105060,155,120,190
11,1985,2,NA,97586,80949,114223,177,147,207
12,1985,3,NA,213901,174689,253113,388,317,459
13,1985,4,NA,424937,390794,459080,770,708,832
14,1985,5,NA,637302,592795,681809,1155,1074,1236
15,1985,6,NA,565825,518011,613639,1026,939,1113
16,1985,7,NA,471852,432599,511105,855,784,926
17,1985,8,NA,389886,359529,420243,707,652,762
18,1985,9,NA,369895,341109,398681,670,618,722
19,1985,10,NA,353231,326279,380183,640,591,689
20,1985,11,NA,276205,252399,300011,501,458,544
21,1985,12,NA,245240,223304,267176,445,405,485
22,1985,13,NA,197206,176080,218332,357,319,395
23,1985,14,NA,134545,114400,154690,244,207,281
24,1985,15,NA,63881,45538,82224,116,83,149
25,1985,16,NA,50362,36451,64273,91,66,116
26,1985,17,NA,34053,24366,43740,62,44,80
27,1985,18,NA,40555,29935,51175,74,55,93
28,1985,19,NA,43154,32821,53487,78,59,97
29,1985,20,NA,27896,20885,34907,51,38,64
30,1985,21,NA,26096,19621,32571,47,35,59
31,1985,22,NA,24099,17190,31008,44,31,57
32,1985,23,NA,19373,10010,28736,35,18,52
33,1985,24,NA,19855,13577,26133,36,25,47
34,1985,25,NA,19362,12454,26270,35,22,48
35,1985,26,NA,18609,12637,24581,34,23,45
36,1985,27,NA,19670,11761,27579,36,22,50
37,1985,28,NA,14588,7659,21517,26,13,39
38,1985,29,NA,13054,6474,19634,24,12,36
39,1985,30,NA,11598,5507,17689,21,10,32
40,1985,31,NA,16958,8479,25437,31,16,46
41,1985,32,NA,7488,1851,13125,14,4,24
42,1985,33,NA,22611,8819,36403,41,16,66
43,1985,34,NA,40389,24786,55992,73,45,101
44,1985,35,NA,30215,18546,41884,55,34,76
45,1985,36,NA,27986,18992,36980,51,35,67
46,1985,37,NA,22219,15626,28812,40,28,52
47,1985,38,NA,27605,20614,34596,50,37,63
48,1985,39,NA,39819,31234,48404,72,56,88
49,1985,40,NA,49739,40335,59143,90,73,107
50,1985,41,NA,45712,36755,54669,83,67,99
51,1985,42,NA,76218,64604,87832,138,117,159
52,1985,43,NA,87402,74208,100596,158,134,182
53,1985,44,NA,67356,55744,78968,122,101,143
54,1985,45,NA,57514,47167,67861,104,85,123
55,1985,46,NA,70534,58788,82280,128,107,149
56,1985,47,NA,66177,55221,77133,120,100,140
57,1985,48,NA,68291,57581,79001,124,105,143
58,1985,49,NA,65931,55326,76536,120,101,139
59,1985,50,NA,86031,73604,98458,156,133,179
60,1985,51,NA,114666,99538,129794,208,181,235
61,1985,52,NA,86452,72250,100654,157,131,183
62,1986,1,NA,112614,96539,128689,203,174,232
63,1986,2,NA,178138,159344,196932,322,288,356
64,1986,3,NA,271539,248654,294424,490,449,531
65,1986,4,NA,348509,322464,374554,629,582,676
66,1986,5,NA,364727,339868,389586,658,613,703
67,1986,6,NA,439300,411764,466836,793,743,843
68,1986,7,NA,490723,460150,521296,886,831,941
69,1986,8,NA,448786,419219,478353,810,757,863
70,1986,9,NA,321140,296644,345636,580,536,624
71,1986,10,NA,257305,231225,283385,464,417,511
72,1986,11,NA,168146,151035,185257,303,272,334
73,1986,12,NA,124777,97237,152317,225,175,275
74,1986,13,NA,87249,63562,110936,157,114,200
75,1986,14,NA,49792,39728,59856,90,72,108
76,1986,15,NA,42659,33537,51781,77,61,93
77,1986,16,NA,41196,32894,49498,74,59,89
78,1986,17,NA,34874,27440,42308,63,50,76
79,1986,18,NA,31736,24115,39357,57,43,71
80,1986,19,NA,22177,16008,28346,40,29,51
81,1986,20,NA,17133,12106,22160,31,22,40
82,1986,21,NA,14460,9575,19345,26,17,35
83,1986,22,NA,9717,5594,13840,18,11,25
84,1986,23,NA,14372,9896,18848,26,18,34
85,1986,24,NA,11160,7252,15068,20,13,27
86,1986,25,NA,11075,6804,15346,20,12,28
87,1986,26,NA,8778,5106,12450,16,9,23
88,1986,27,NA,7529,3353,11705,14,6,22
89,1986,28,NA,2327,0,5318,4,0,9
90,1986,29,NA,3654,931,6377,7,2,12
91,1986,30,NA,2346,141,4551,4,0,8
92,1986,31,NA,2247,0,4574,4,0,8
93,1986,32,NA,1027,0,2311,2,0,4
94,1986,33,NA,3115,554,5676,6,1,11
95,1986,34,NA,5762,858,10666,10,1,19
96,1986,35,NA,10587,4470,16704,19,8,30
97,1986,36,NA,9182,4982,13382,17,9,25
98,1986,37,NA,15998,10802,21194,29,20,38
99,1986,38,NA,26615,20479,32751,48,37,59
100,1986,39,NA,28665,22477,34853,52,41,63
101,1986,40,NA,33516,26776,40256,60,48,72
102,1986,41,NA,32864,25939,39789,59,47,71
103,1986,42,NA,31815,25124,38506,57,45,69
104,1986,43,NA,27532,20842,34222,50,38,62
105,1986,44,NA,28646,22048,35244,52,40,64
106,1986,45,NA,38964,31382,46546,70,56,84
107,1986,46,NA,32134,25327,38941,58,46,70
