"Time","Incidence Number","Imported Cases"
"1",1,0
"2",1,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",1,0
"16",0,0
"17",0,0
"18",0,0
"19",1,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",1,0
"30",0,0
"31",0,0
"32",0,0
"33",2,0
"34",0,0
"35",0,0
"36",1,0
"37",1,0
"38",1,1
"39",0,0
"40",0,1
"41",0,0
"42",1,0
"43",1,0
"44",0,0
"45",0,2
"46",1,0
"47",0,0
"48",0,0
"49",1,0
"50",0,0
"51",0,1
"52",0,1
"53",0,0
"54",2,1
"55",0,0
"56",0,0
"57",0,0
"58",1,1
"59",0,0
"60",0,0
"61",0,0
"62",0,0
"63",0,0
"64",1,0
"65",1,0
"66",0,0
"67",0,0
"68",0,0
"69",3,0
"70",2,0
"71",2,0
"72",1,0
"73",1,0
"74",1,0
"75",1,0
"76",1,0
"77",2,0
"78",2,0
"79",4,0
"80",6,1
"81",5,0
"82",1,0
"83",0,0
"84",1,0
"85",1,0
"86",1,0
"87",0,0
"88",0,0
"89",0,0
"90",1,1
"91",0,0
"92",1,1
"93",0,0
"94",0,1
"95",0,0
"96",0,0
"97",1,1
"98",0,0
"99",1,0
"100",2,0
"101",0,0
"102",1,0
"103",0,0
"104",1,0
"105",0,0
"106",1,0
"107",0,0
"108",2,0
"109",2,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",0,0
"115",0,0
"116",0,0
"117",0,0
"118",0,0
"119",0,0
"120",0,1
"121",0,0
"122",0,0
"123",0,0
"124",0,1
"125",0,0
"126",0,0
"127",0,0
"128",1,1
"129",0,0
"130",0,0
"131",0,0
"132",2,0
"133",0,0
"134",0,0
"135",1,0
"136",0,0
"137",0,0
"138",1,2
"139",0,0
"140",0,1
"141",0,0
"142",0,0
"143",1,0
"144",0,0
"145",1,0
"146",0,0
"147",3,0
"148",1,0
"149",0,0
"150",0,0
"151",0,0
"152",0,0
"153",0,0
"154",0,1
"155",2,0
"156",0,0
"157",1,1
"158",0,0
"159",1,0
"160",0,0
"161",1,0
"162",1,1
"163",0,0
"164",1,0
"165",0,0
"166",0,0
"167",0,1
"168",1,0
"169",0,0
"170",0,0
"171",4,0
"172",1,0
