Time,Incidence Number,Imported Cases,R_t
1,0.0,0.0,3.0
2,3.0,0.0,2.7
3,7.0,0.0,2.5
4,5.0,21.0,2.4
5,9.0,0.0,2.3
6,39.0,0.0,2.2
7,49.0,25.0,1.9
8,40.0,0.0,1.8
9,110.0,0.0,1.9
10,122.0,0.0,1.7
11,113.0,0.0,1.6
12,101.0,0.0,1.3
13,135.0,0.0,1.3
14,137.0,0.0,1.2
15,105.0,29.0,1.1
16,113.0,0.0,0.9
17,145.0,0.0,1.0
18,155.0,0.0,1.1
19,130.0,0.0,0.95
20,123.0,0.0,0.9
21,127.0,21.0,0.8
22,90.0,0.0,0.7
23,117.0,0.0,0.75
24,137.0,24.0,0.8
25,81.0,0.0,0.77
26,106.0,20.0,0.73
27,97.0,0.0,0.7
28,91.0,15.0,0.68
29,80.0,0.0,0.65
30,92.0,21.0,0.67
31,69.0,0.0,0.66
32,87.0,25.0,0.72
