Time,Incidence Number,Imported Cases,R_t
1,0.0,7.0,3.0
2,4.0,0.0,2.7
3,12.0,0.0,2.5
4,13.0,0.0,2.4
5,8.0,12.0,2.3
6,17.0,0.0,2.2
7,13.0,11.0,1.9
8,34.0,11.0,1.8
9,28.0,6.0,1.9
10,32.0,0.0,1.7
11,44.0,10.0,1.6
12,38.0,11.0,1.3
13,40.0,0.0,1.3
14,49.0,0.0,1.2
15,51.0,0.0,1.1
16,58.0,0.0,0.9
17,33.0,0.0,1.0
18,51.0,0.0,1.1
19,37.0,9.0,0.95
20,49.0,8.0,0.9
21,42.0,0.0,0.8
22,33.0,15.0,0.7
23,37.0,10.0,0.75
24,35.0,0.0,0.8
25,35.0,15.0,0.77
26,26.0,0.0,0.73
27,32.0,0.0,0.7
28,27.0,8.0,0.68
29,22.0,0.0,0.65
30,20.0,0.0,0.67
31,20.0,12.0,0.66
32,17.0,0.0,0.72
