Time,Incidence Number,Imported Cases,R_t
1,0.0,0.0,3.0
2,3.0,0.0,2.7
3,10.0,26.0,2.5
4,5.0,0.0,2.4
5,39.0,23.0,2.3
6,38.0,0.0,2.2
7,48.0,0.0,1.9
8,67.0,26.0,1.8
9,83.0,0.0,1.9
10,108.0,0.0,1.7
11,130.0,21.0,1.6
12,116.0,20.0,1.3
13,151.0,0.0,1.3
14,127.0,0.0,1.2
15,137.0,28.0,1.1
16,119.0,0.0,0.9
17,163.0,21.0,1.0
18,139.0,19.0,1.1
19,147.0,0.0,0.95
20,153.0,22.0,0.9
21,121.0,0.0,0.8
22,115.0,24.0,0.7
23,116.0,22.0,0.75
24,129.0,0.0,0.8
25,105.0,28.0,0.77
26,100.0,23.0,0.73
27,100.0,0.0,0.7
28,88.0,0.0,0.68
29,83.0,29.0,0.65
30,78.0,0.0,0.67
31,79.0,16.0,0.66
32,93.0,31.0,0.72
