Time,Incidence Number,Imported Cases,R_t
1,0.0,0.0,3.0
2,4.0,0.0,2.7
3,8.0,0.0,2.5
4,4.0,20.0,2.4
5,8.0,0.0,2.3
6,23.0,25.0,2.2
7,27.0,0.0,1.9
8,39.0,0.0,1.8
9,55.0,23.0,1.9
10,58.0,0.0,1.7
11,67.0,0.0,1.6
12,97.0,0.0,1.3
13,72.0,0.0,1.3
14,68.0,0.0,1.2
15,82.0,29.0,1.1
16,75.0,0.0,0.9
17,83.0,0.0,1.0
18,112.0,0.0,1.1
19,83.0,0.0,0.95
20,75.0,0.0,0.9
21,81.0,25.0,0.8
22,79.0,24.0,0.7
23,76.0,0.0,0.75
24,78.0,0.0,0.8
25,59.0,18.0,0.77
26,58.0,17.0,0.73
27,73.0,0.0,0.7
28,44.0,31.0,0.68
29,50.0,23.0,0.65
30,47.0,30.0,0.67
31,53.0,0.0,0.66
32,62.0,0.0,0.72
